Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 5952728.00 | 5952852.50 | 119.7450   | 0.0366     | 81.77   
100    | 1.933  | 5301695.00 | 5301751.50 | 1110.1307  | 0.0194     | 26.39   
200    | 1.867  | 4424618.50 | 4424644.50 | 675.2133   | 0.0109     | 13.27   
300    | 1.800  | 3986951.25 | 3986966.75 | 494.4760   | 0.0081     | 9.04    
400    | 1.733  | 3710928.25 | 3710937.50 | 413.4483   | 0.0069     | 7.42    
500    | 1.667  | 3494957.75 | 3494962.50 | 543.1743   | 0.0062     | 6.55    
600    | 1.600  | 3289528.50 | 3289530.25 | 388.2963   | 0.0055     | 5.67    
700    | 1.533  | 3107593.00 | 3107591.50 | 361.6897   | 0.0047     | 4.89    
800    | 1.467  | 2969182.00 | 2969178.75 | 364.8478   | 0.0040     | 4.10    
900    | 1.400  | 2873139.75 | 2873135.25 | 197.1938   | 0.0034     | 3.50    
1000   | 1.333  | 2798592.00 | 2798586.25 | 164.7556   | 0.0031     | 3.12    
1100   | 1.267  | 2746601.50 | 2746595.25 | 172.6245   | 0.0027     | 2.69    
1200   | 1.200  | 2709721.00 | 2709713.75 | 153.1133   | 0.0024     | 2.47    
1300   | 1.133  | 2680001.50 | 2679993.50 | 110.0820   | 0.0022     | 2.19    
1400   | 1.067  | 2658379.75 | 2658371.50 | 69.8102    | 0.0020     | 2.01    
1500   | 1.000  | 2634988.75 | 2634980.25 | 231.0081   | 0.0018     | 1.80    
1600   | 0.933  | 2613932.50 | 2613924.00 | 93.2794    | 0.0016     | 1.65    
1700   | 0.867  | 2596138.25 | 2596129.75 | 339.3252   | 0.0015     | 1.50    
1800   | 0.800  | 2577661.75 | 2577653.50 | 132.6299   | 0.0013     | 1.34    
1900   | 0.733  | 2560355.50 | 2560347.50 | 41.5362    | 0.0012     | 1.25    
2000   | 0.667  | 2547336.50 | 2547328.00 | 60.9256    | 0.0012     | 1.19    
2100   | 0.600  | 2535983.25 | 2535975.25 | 318.9080   | 0.0011     | 1.13    
2200   | 0.533  | 2521026.25 | 2521017.75 | 26.9563    | 0.0010     | 1.07    
2300   | 0.467  | 2514794.25 | 2514785.50 | 81.6483    | 0.0010     | 1.02    
2400   | 0.400  | 2504592.50 | 2504583.25 | 251.3422   | 0.0010     | 1.00    
2500   | 0.333  | 2486486.25 | 2486477.00 | 124.1576   | 0.0009     | 0.96    
2600   | 0.267  | 2472502.75 | 2472493.00 | 160.8427   | 0.0009     | 0.95    
2700   | 0.200  | 2463712.25 | 2463702.25 | 151.5609   | 0.0009     | 0.93    
2800   | 0.133  | 2451194.25 | 2451184.25 | 1547.9525  | 0.0009     | 0.91    
2900   | 0.067  | 2433679.75 | 2433669.75 | 1388.0626  | 0.0009     | 0.87    
2999   | 0.050  | 2421318.75 | 2421309.00 | 2455.0769  | 0.0008     | 0.79    
