Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 4212588.00 | 4212712.00 | 83.4795    | 0.0366     | 81.80   
100    | 1.933  | 3720108.50 | 3720166.25 | 767.6818   | 0.0197     | 26.81   
200    | 1.867  | 3097172.50 | 3097198.00 | 467.1268   | 0.0107     | 13.00   
300    | 1.800  | 2789150.00 | 2789165.50 | 356.7609   | 0.0081     | 9.04    
400    | 1.733  | 2584840.00 | 2584849.50 | 306.8414   | 0.0070     | 7.54    
500    | 1.667  | 2434772.25 | 2434777.50 | 353.9834   | 0.0062     | 6.52    
600    | 1.600  | 2287904.50 | 2287905.75 | 302.2760   | 0.0055     | 5.67    
700    | 1.533  | 2163393.50 | 2163392.25 | 316.4274   | 0.0048     | 4.93    
800    | 1.467  | 2060903.00 | 2060900.00 | 197.9915   | 0.0041     | 4.21    
900    | 1.400  | 2001411.00 | 2001406.38 | 198.0616   | 0.0036     | 3.67    
1000   | 1.333  | 1954913.25 | 1954907.12 | 164.0633   | 0.0032     | 3.21    
1100   | 1.267  | 1920741.38 | 1920734.38 | 104.5503   | 0.0029     | 2.90    
1200   | 1.200  | 1897244.25 | 1897236.50 | 67.5848    | 0.0026     | 2.63    
1300   | 1.133  | 1874812.50 | 1874804.12 | 68.8076    | 0.0023     | 2.31    
1400   | 1.067  | 1857026.25 | 1857017.88 | 58.2271    | 0.0020     | 2.03    
1500   | 1.000  | 1839921.12 | 1839912.75 | 147.0522   | 0.0018     | 1.80    
1600   | 0.933  | 1827509.88 | 1827501.38 | 182.8657   | 0.0016     | 1.64    
1700   | 0.867  | 1812903.00 | 1812895.00 | 72.1688    | 0.0014     | 1.47    
1800   | 0.800  | 1801081.88 | 1801073.88 | 157.5620   | 0.0013     | 1.37    
1900   | 0.733  | 1791899.50 | 1791891.38 | 41.9438    | 0.0012     | 1.28    
2000   | 0.667  | 1786060.12 | 1786052.00 | 121.6235   | 0.0012     | 1.21    
2100   | 0.600  | 1776938.25 | 1776930.00 | 80.2184    | 0.0011     | 1.14    
2200   | 0.533  | 1769488.62 | 1769480.12 | 108.6066   | 0.0011     | 1.10    
2300   | 0.467  | 1756836.12 | 1756827.50 | 110.8484   | 0.0010     | 1.06    
2400   | 0.400  | 1747780.25 | 1747771.38 | 46.2158    | 0.0010     | 1.02    
2500   | 0.333  | 1741280.88 | 1741272.00 | 111.2300   | 0.0009     | 0.98    
2600   | 0.267  | 1732691.00 | 1732681.75 | 116.5288   | 0.0009     | 0.96    
2700   | 0.200  | 1726371.38 | 1726361.50 | 133.4975   | 0.0009     | 0.95    
2800   | 0.133  | 1711343.50 | 1711333.38 | 310.9243   | 0.0009     | 0.91    
2900   | 0.067  | 1704856.12 | 1704846.00 | 1480.4536  | 0.0009     | 0.88    
2999   | 0.050  | 1693508.75 | 1693499.50 | 1813.9937  | 0.0008     | 0.80    
