Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 5947468.50 | 5947592.00 | 85.8446    | 0.0366     | 81.77   
100    | 1.933  | 5305554.50 | 5305611.50 | 1028.9991  | 0.0194     | 26.07   
200    | 1.867  | 4518652.50 | 4518678.50 | 670.2195   | 0.0109     | 13.19   
300    | 1.800  | 4099023.25 | 4099038.25 | 431.6687   | 0.0081     | 9.06    
400    | 1.733  | 3849998.00 | 3850008.00 | 374.3165   | 0.0070     | 7.55    
500    | 1.667  | 3654848.25 | 3654853.75 | 404.3050   | 0.0063     | 6.57    
600    | 1.600  | 3469731.00 | 3469733.00 | 358.5585   | 0.0055     | 5.71    
700    | 1.533  | 3317475.75 | 3317474.50 | 271.4979   | 0.0047     | 4.81    
800    | 1.467  | 3210273.25 | 3210270.00 | 229.0521   | 0.0040     | 4.05    
900    | 1.400  | 3132864.50 | 3132860.00 | 269.9035   | 0.0035     | 3.55    
1000   | 1.333  | 3069589.00 | 3069583.50 | 484.0214   | 0.0031     | 3.11    
1100   | 1.267  | 3027689.00 | 3027681.75 | 193.2612   | 0.0027     | 2.77    
1200   | 1.200  | 2998626.50 | 2998618.50 | 119.2266   | 0.0025     | 2.57    
1300   | 1.133  | 2970594.75 | 2970586.25 | 144.2310   | 0.0023     | 2.31    
1400   | 1.067  | 2947342.75 | 2947334.25 | 124.0436   | 0.0020     | 2.05    
1500   | 1.000  | 2921963.50 | 2921954.50 | 135.7540   | 0.0018     | 1.84    
1600   | 0.933  | 2897358.75 | 2897349.75 | 166.5536   | 0.0016     | 1.66    
1700   | 0.867  | 2878111.50 | 2878102.75 | 42.5898    | 0.0015     | 1.55    
1800   | 0.800  | 2869192.25 | 2869183.50 | 31.7681    | 0.0014     | 1.41    
1900   | 0.733  | 2855225.00 | 2855216.00 | 92.9874    | 0.0013     | 1.31    
2000   | 0.667  | 2841663.00 | 2841654.25 | 33.8253    | 0.0012     | 1.22    
2100   | 0.600  | 2828571.50 | 2828562.50 | 191.7083   | 0.0011     | 1.17    
2200   | 0.533  | 2817106.50 | 2817097.00 | 81.8140    | 0.0011     | 1.15    
2300   | 0.467  | 2801541.75 | 2801532.00 | 52.9047    | 0.0011     | 1.10    
2400   | 0.400  | 2790354.25 | 2790344.25 | 180.8089   | 0.0011     | 1.10    
2500   | 0.333  | 2774464.50 | 2774454.25 | 53.5264    | 0.0011     | 1.07    
2600   | 0.267  | 2758616.25 | 2758605.50 | 248.1806   | 0.0010     | 1.05    
2700   | 0.200  | 2742264.00 | 2742252.75 | 240.7396   | 0.0010     | 1.02    
2800   | 0.133  | 2731929.50 | 2731918.00 | 312.9119   | 0.0010     | 1.00    
2900   | 0.067  | 2722101.00 | 2722089.25 | 1298.7697  | 0.0009     | 0.95    
2999   | 0.050  | 2713081.50 | 2713070.25 | 1792.1427  | 0.0009     | 0.89    
