Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 4212829.50 | 4212953.00 | 60.6519    | 0.0366     | 81.83   
100    | 1.933  | 3712545.25 | 3712601.75 | 732.0890   | 0.0195     | 26.10   
200    | 1.867  | 3156448.25 | 3156473.50 | 450.2930   | 0.0108     | 12.89   
300    | 1.800  | 2875479.00 | 2875494.00 | 318.3607   | 0.0081     | 9.06    
400    | 1.733  | 2690065.25 | 2690075.25 | 217.6857   | 0.0070     | 7.50    
500    | 1.667  | 2544950.75 | 2544956.00 | 288.7378   | 0.0063     | 6.60    
600    | 1.600  | 2413685.75 | 2413687.25 | 253.6726   | 0.0056     | 5.74    
700    | 1.533  | 2303730.25 | 2303729.25 | 191.9682   | 0.0049     | 5.00    
800    | 1.467  | 2227275.50 | 2227272.50 | 168.9489   | 0.0041     | 4.15    
900    | 1.400  | 2170328.50 | 2170324.00 | 110.6654   | 0.0036     | 3.66    
1000   | 1.333  | 2125829.00 | 2125823.50 | 121.5952   | 0.0031     | 3.16    
1100   | 1.267  | 2091952.25 | 2091945.50 | 68.7616    | 0.0028     | 2.82    
1200   | 1.200  | 2064562.50 | 2064555.50 | 110.4734   | 0.0025     | 2.51    
1300   | 1.133  | 2041292.12 | 2041284.25 | 123.7182   | 0.0023     | 2.26    
1400   | 1.067  | 2023787.75 | 2023779.75 | 135.7425   | 0.0020     | 2.01    
1500   | 1.000  | 2010886.00 | 2010877.38 | 62.4174    | 0.0018     | 1.84    
1600   | 0.933  | 1994965.50 | 1994956.88 | 93.5285    | 0.0017     | 1.68    
1700   | 0.867  | 1980552.00 | 1980543.75 | 76.3505    | 0.0015     | 1.48    
1800   | 0.800  | 1967981.38 | 1967973.12 | 98.1720    | 0.0014     | 1.39    
1900   | 0.733  | 1957958.38 | 1957950.00 | 106.1555   | 0.0013     | 1.28    
2000   | 0.667  | 1948927.00 | 1948918.38 | 71.9771    | 0.0012     | 1.22    
2100   | 0.600  | 1939261.25 | 1939252.75 | 55.4325    | 0.0011     | 1.14    
2200   | 0.533  | 1928144.75 | 1928136.00 | 12.9320    | 0.0011     | 1.08    
2300   | 0.467  | 1920176.88 | 1920167.38 | 74.7455    | 0.0011     | 1.07    
2400   | 0.400  | 1912668.25 | 1912658.38 | 29.9594    | 0.0010     | 1.05    
2500   | 0.333  | 1903701.88 | 1903691.75 | 85.1650    | 0.0010     | 1.01    
2600   | 0.267  | 1896655.38 | 1896644.75 | 85.4225    | 0.0010     | 1.00    
2700   | 0.200  | 1888398.62 | 1888387.50 | 159.3395   | 0.0010     | 0.99    
2800   | 0.133  | 1883197.75 | 1883186.25 | 320.1607   | 0.0010     | 0.96    
2900   | 0.067  | 1879291.75 | 1879280.12 | 1056.6132  | 0.0009     | 0.93    
2999   | 0.050  | 1866139.50 | 1866128.00 | 1751.7572  | 0.0009     | 0.90    
