Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 5954967.00 | 5955091.00 | 121.8822   | 0.0366     | 81.80   
100    | 1.933  | 5213957.50 | 5214019.00 | 1266.8842  | 0.0209     | 28.66   
200    | 1.867  | 4299263.50 | 4299291.50 | 685.6339   | 0.0119     | 14.66   
300    | 1.800  | 3859310.25 | 3859326.25 | 522.5284   | 0.0084     | 9.52    
400    | 1.733  | 3579171.50 | 3579180.75 | 365.4577   | 0.0071     | 7.67    
500    | 1.667  | 3354124.75 | 3354129.75 | 582.3443   | 0.0062     | 6.50    
600    | 1.600  | 3140939.50 | 3140940.75 | 518.6505   | 0.0054     | 5.62    
700    | 1.533  | 2965906.50 | 2965905.25 | 374.2321   | 0.0047     | 4.79    
800    | 1.467  | 2836045.00 | 2836041.50 | 316.2858   | 0.0041     | 4.16    
900    | 1.400  | 2747927.25 | 2747922.50 | 149.9193   | 0.0036     | 3.64    
1000   | 1.333  | 2696807.00 | 2696800.50 | 188.5548   | 0.0032     | 3.27    
1100   | 1.267  | 2648498.75 | 2648491.25 | 171.4669   | 0.0030     | 2.98    
1200   | 1.200  | 2612346.75 | 2612338.50 | 142.2317   | 0.0027     | 2.69    
1300   | 1.133  | 2584034.75 | 2584025.75 | 293.8196   | 0.0024     | 2.44    
1400   | 1.067  | 2555691.50 | 2555681.75 | 150.0760   | 0.0022     | 2.22    
1500   | 1.000  | 2532186.75 | 2532177.00 | 49.6399    | 0.0020     | 2.01    
1600   | 0.933  | 2514363.50 | 2514353.50 | 63.3550    | 0.0018     | 1.86    
1700   | 0.867  | 2493451.00 | 2493441.50 | 64.0182    | 0.0016     | 1.66    
1800   | 0.800  | 2484452.25 | 2484442.75 | 300.1542   | 0.0014     | 1.48    
1900   | 0.733  | 2469228.25 | 2469218.25 | 218.4709   | 0.0014     | 1.41    
2000   | 0.667  | 2457335.50 | 2457325.75 | 30.1814    | 0.0013     | 1.30    
2100   | 0.600  | 2449103.75 | 2449094.00 | 44.5402    | 0.0012     | 1.22    
2200   | 0.533  | 2436429.75 | 2436420.00 | 191.2742   | 0.0012     | 1.20    
2300   | 0.467  | 2427403.25 | 2427392.50 | 78.6350    | 0.0012     | 1.19    
2400   | 0.400  | 2410015.25 | 2410004.50 | 112.5156   | 0.0011     | 1.14    
2500   | 0.333  | 2392920.25 | 2392909.25 | 191.4435   | 0.0011     | 1.10    
2600   | 0.267  | 2376431.25 | 2376420.50 | 140.8674   | 0.0010     | 1.06    
2700   | 0.200  | 2360058.75 | 2360047.00 | 318.7840   | 0.0010     | 1.04    
2800   | 0.133  | 2342332.50 | 2342320.25 | 521.5215   | 0.0010     | 1.03    
2900   | 0.067  | 2330637.75 | 2330625.50 | 2151.6550  | 0.0010     | 0.99    
2999   | 0.050  | 2323870.50 | 2323858.75 | 1700.3088  | 0.0009     | 0.93    
