Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 4216738.50 | 4216862.50 | 87.2811    | 0.0366     | 81.78   
100    | 1.933  | 3660375.25 | 3660435.75 | 938.3990   | 0.0207     | 28.23   
200    | 1.867  | 3018390.00 | 3018417.75 | 474.8716   | 0.0119     | 14.56   
300    | 1.800  | 2715465.50 | 2715481.00 | 298.0416   | 0.0084     | 9.55    
400    | 1.733  | 2536048.25 | 2536057.50 | 283.0208   | 0.0071     | 7.68    
500    | 1.667  | 2388504.50 | 2388509.50 | 259.2755   | 0.0062     | 6.51    
600    | 1.600  | 2238810.25 | 2238811.50 | 286.2026   | 0.0054     | 5.68    
700    | 1.533  | 2116073.50 | 2116072.50 | 316.2084   | 0.0047     | 4.85    
800    | 1.467  | 2030856.00 | 2030852.75 | 327.3571   | 0.0042     | 4.27    
900    | 1.400  | 1963980.12 | 1963975.12 | 214.9377   | 0.0037     | 3.79    
1000   | 1.333  | 1913271.38 | 1913265.12 | 176.9588   | 0.0033     | 3.35    
1100   | 1.267  | 1872152.88 | 1872145.88 | 129.4872   | 0.0029     | 2.95    
1200   | 1.200  | 1845669.88 | 1845661.75 | 118.2693   | 0.0026     | 2.61    
1300   | 1.133  | 1818920.25 | 1818911.38 | 126.3368   | 0.0023     | 2.35    
1400   | 1.067  | 1798342.38 | 1798333.38 | 102.1845   | 0.0021     | 2.13    
1500   | 1.000  | 1779806.38 | 1779797.12 | 85.3834    | 0.0019     | 1.93    
1600   | 0.933  | 1761736.50 | 1761727.50 | 45.9194    | 0.0016     | 1.68    
1700   | 0.867  | 1749054.62 | 1749045.88 | 66.8757    | 0.0015     | 1.53    
1800   | 0.800  | 1738336.88 | 1738328.50 | 53.9683    | 0.0014     | 1.41    
1900   | 0.733  | 1730365.75 | 1730357.25 | 14.7024    | 0.0013     | 1.30    
2000   | 0.667  | 1724178.00 | 1724169.88 | 65.8040    | 0.0012     | 1.19    
2100   | 0.600  | 1706892.12 | 1706883.62 | 66.1528    | 0.0011     | 1.14    
2200   | 0.533  | 1698242.88 | 1698234.25 | 77.1102    | 0.0011     | 1.08    
2300   | 0.467  | 1689509.75 | 1689501.12 | 31.1053    | 0.0010     | 1.04    
2400   | 0.400  | 1677300.75 | 1677291.75 | 47.1722    | 0.0010     | 1.01    
2500   | 0.333  | 1669784.62 | 1669775.12 | 81.1168    | 0.0010     | 0.99    
2600   | 0.267  | 1663104.00 | 1663094.50 | 40.1978    | 0.0009     | 0.94    
2700   | 0.200  | 1657375.00 | 1657365.62 | 108.3265   | 0.0009     | 0.90    
2800   | 0.133  | 1652672.00 | 1652662.00 | 351.0036   | 0.0009     | 0.88    
2900   | 0.067  | 1644481.25 | 1644471.62 | 759.2988   | 0.0008     | 0.83    
2999   | 0.050  | 1640469.75 | 1640460.50 | 1948.8434  | 0.0008     | 0.79    
