Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 11210428.00 | 11210552.00 | 254.1850   | 0.0366     | 81.79   
100    | 1.933  | 9911429.00 | 9911488.00 | 2156.5798  | 0.0201     | 27.39   
200    | 1.867  | 8161946.50 | 8161973.00 | 1439.0387  | 0.0112     | 13.70   
300    | 1.800  | 7300665.00 | 7300679.50 | 822.1281   | 0.0082     | 9.20    
400    | 1.733  | 6775462.00 | 6775472.00 | 845.5743   | 0.0070     | 7.52    
500    | 1.667  | 6322425.50 | 6322430.50 | 1056.5128  | 0.0062     | 6.53    
600    | 1.600  | 5896617.00 | 5896618.50 | 1102.8181  | 0.0054     | 5.63    
700    | 1.533  | 5538962.00 | 5538960.50 | 720.7804   | 0.0046     | 4.78    
800    | 1.467  | 5273505.00 | 5273502.50 | 544.5070   | 0.0039     | 4.01    
900    | 1.400  | 5113169.00 | 5113164.50 | 444.2431   | 0.0034     | 3.43    
1000   | 1.333  | 4994635.50 | 4994630.00 | 281.1865   | 0.0030     | 3.03    
1100   | 1.267  | 4909184.00 | 4909177.00 | 235.5845   | 0.0026     | 2.68    
1200   | 1.200  | 4842768.00 | 4842760.50 | 253.5414   | 0.0022     | 2.28    
1300   | 1.133  | 4791069.50 | 4791062.00 | 214.7978   | 0.0020     | 2.03    
1400   | 1.067  | 4752488.50 | 4752481.00 | 207.0063   | 0.0018     | 1.85    
1500   | 1.000  | 4713976.00 | 4713969.00 | 123.2014   | 0.0016     | 1.65    
1600   | 0.933  | 4682554.00 | 4682546.50 | 82.8797    | 0.0015     | 1.51    
1700   | 0.867  | 4650041.00 | 4650033.50 | 104.0145   | 0.0013     | 1.36    
1800   | 0.800  | 4625851.50 | 4625844.50 | 285.5133   | 0.0012     | 1.23    
1900   | 0.733  | 4613193.00 | 4613186.00 | 109.2908   | 0.0011     | 1.15    
2000   | 0.667  | 4594673.00 | 4594665.50 | 131.3280   | 0.0010     | 1.09    
2100   | 0.600  | 4579957.00 | 4579949.00 | 260.1376   | 0.0010     | 1.07    
2200   | 0.533  | 4552834.50 | 4552826.00 | 52.9678    | 0.0010     | 1.05    
2300   | 0.467  | 4534694.50 | 4534685.50 | 199.0950   | 0.0010     | 1.04    
2400   | 0.400  | 4521241.00 | 4521232.00 | 87.5525    | 0.0010     | 1.02    
2500   | 0.333  | 4505394.00 | 4505385.00 | 150.2512   | 0.0010     | 0.99    
2600   | 0.267  | 4493694.50 | 4493685.00 | 530.2234   | 0.0009     | 0.97    
2700   | 0.200  | 4470210.50 | 4470200.50 | 612.8668   | 0.0009     | 0.95    
2800   | 0.133  | 4453798.50 | 4453787.50 | 1458.4541  | 0.0009     | 0.94    
2900   | 0.067  | 4430951.50 | 4430941.50 | 2030.6211  | 0.0009     | 0.89    
2999   | 0.050  | 4416577.50 | 4416567.50 | 5491.3394  | 0.0008     | 0.84    
