Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 7930094.50 | 7930218.50 | 179.3347   | 0.0366     | 81.79   
100    | 1.933  | 6931389.50 | 6931448.00 | 1565.8116  | 0.0199     | 27.28   
200    | 1.867  | 5728964.50 | 5728990.50 | 911.0851   | 0.0110     | 13.39   
300    | 1.800  | 5114323.00 | 5114338.00 | 606.2140   | 0.0081     | 9.07    
400    | 1.733  | 4762442.00 | 4762451.00 | 512.8684   | 0.0069     | 7.33    
500    | 1.667  | 4474161.00 | 4474165.50 | 790.5676   | 0.0062     | 6.45    
600    | 1.600  | 4197238.50 | 4197240.00 | 597.0015   | 0.0054     | 5.62    
700    | 1.533  | 3945718.25 | 3945716.50 | 447.0164   | 0.0047     | 4.79    
800    | 1.467  | 3804128.50 | 3804124.75 | 362.9596   | 0.0041     | 4.19    
900    | 1.400  | 3702406.25 | 3702401.25 | 257.1739   | 0.0036     | 3.65    
1000   | 1.333  | 3621740.75 | 3621734.00 | 267.2950   | 0.0033     | 3.33    
1100   | 1.267  | 3551171.75 | 3551164.00 | 234.8491   | 0.0029     | 2.99    
1200   | 1.200  | 3495292.50 | 3495283.75 | 300.8226   | 0.0026     | 2.68    
1300   | 1.133  | 3448191.25 | 3448182.25 | 113.8281   | 0.0023     | 2.35    
1400   | 1.067  | 3403643.75 | 3403635.00 | 157.2882   | 0.0020     | 2.04    
1500   | 1.000  | 3379324.75 | 3379316.50 | 159.2105   | 0.0018     | 1.81    
1600   | 0.933  | 3351937.75 | 3351929.50 | 342.9427   | 0.0016     | 1.64    
1700   | 0.867  | 3333914.25 | 3333906.25 | 239.1989   | 0.0015     | 1.51    
1800   | 0.800  | 3309488.50 | 3309481.00 | 145.0768   | 0.0013     | 1.34    
1900   | 0.733  | 3286585.00 | 3286576.50 | 246.0235   | 0.0013     | 1.29    
2000   | 0.667  | 3268180.50 | 3268172.00 | 67.1828    | 0.0012     | 1.25    
2100   | 0.600  | 3244211.75 | 3244202.75 | 888.3205   | 0.0012     | 1.19    
2200   | 0.533  | 3227347.75 | 3227339.25 | 161.5425   | 0.0011     | 1.12    
2300   | 0.467  | 3205607.50 | 3205598.25 | 268.6904   | 0.0011     | 1.11    
2400   | 0.400  | 3189285.25 | 3189275.75 | 102.6195   | 0.0010     | 1.07    
2500   | 0.333  | 3174605.00 | 3174594.50 | 108.3632   | 0.0010     | 1.07    
2600   | 0.267  | 3154461.25 | 3154450.75 | 209.3355   | 0.0010     | 1.04    
2700   | 0.200  | 3134108.00 | 3134097.25 | 300.9905   | 0.0010     | 1.01    
2800   | 0.133  | 3116560.00 | 3116549.00 | 705.5809   | 0.0010     | 0.99    
2900   | 0.067  | 3096149.25 | 3096138.50 | 2578.4934  | 0.0009     | 0.96    
2999   | 0.050  | 3084617.00 | 3084606.00 | 2516.0952  | 0.0009     | 0.90    
