Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 41176.16   | 41230.09   | 11.6427    | 0.0749     | 28.61   
100    | 1.933  | 22778.37   | 22785.69   | 4.7410     | 0.0122     | 3.36    
200    | 1.867  | 21574.84   | 21580.08   | 2.4527     | 0.0100     | 2.48    
300    | 1.800  | 20762.82   | 20767.45   | 2.2392     | 0.0107     | 2.47    
400    | 1.733  | 20253.65   | 20257.03   | 1.5204     | 0.0106     | 2.36    
500    | 1.667  | 19890.45   | 19892.48   | 1.8093     | 0.0104     | 2.27    
600    | 1.600  | 19613.79   | 19614.36   | 0.5732     | 0.0095     | 2.05    
700    | 1.533  | 19423.77   | 19423.08   | 1.3560     | 0.0088     | 1.88    
800    | 1.467  | 19204.75   | 19203.05   | 0.5228     | 0.0080     | 1.70    
900    | 1.400  | 19046.32   | 19043.79   | 1.4153     | 0.0075     | 1.60    
1000   | 1.333  | 18905.36   | 18902.10   | 0.4031     | 0.0069     | 1.47    
1100   | 1.267  | 18817.67   | 18813.71   | 3.6983     | 0.0064     | 1.37    
1200   | 1.200  | 18705.98   | 18701.63   | 0.7656     | 0.0057     | 1.22    
1300   | 1.133  | 18646.74   | 18642.08   | 0.2114     | 0.0052     | 1.11    
1400   | 1.067  | 18581.12   | 18576.31   | 0.2496     | 0.0047     | 1.01    
1500   | 1.000  | 18500.46   | 18495.37   | 0.9734     | 0.0045     | 0.96    
1600   | 0.933  | 18442.05   | 18436.82   | 0.4792     | 0.0041     | 0.89    
1700   | 0.867  | 18391.04   | 18385.81   | 0.7103     | 0.0037     | 0.81    
1800   | 0.800  | 18370.58   | 18365.16   | 0.3346     | 0.0035     | 0.77    
1900   | 0.733  | 18328.74   | 18323.14   | 0.4335     | 0.0034     | 0.73    
2000   | 0.667  | 18286.79   | 18280.95   | 0.4264     | 0.0033     | 0.71    
2100   | 0.600  | 18249.80   | 18243.91   | 0.9472     | 0.0031     | 0.68    
2200   | 0.533  | 18211.67   | 18205.69   | 0.2435     | 0.0030     | 0.64    
2300   | 0.467  | 18128.07   | 18122.32   | 0.4314     | 0.0028     | 0.60    
2400   | 0.400  | 18096.17   | 18090.20   | 0.5570     | 0.0027     | 0.59    
2500   | 0.333  | 18076.06   | 18069.90   | 1.1620     | 0.0027     | 0.58    
2600   | 0.267  | 18052.12   | 18045.77   | 1.5866     | 0.0026     | 0.57    
2700   | 0.200  | 18035.01   | 18028.60   | 4.5983     | 0.0025     | 0.54    
2800   | 0.133  | 18002.03   | 17995.29   | 8.8763     | 0.0025     | 0.54    
2900   | 0.067  | 17961.32   | 17954.38   | 12.4039    | 0.0025     | 0.52    
2999   | 0.050  | 17931.66   | 17924.63   | 24.7959    | 0.0024     | 0.50    
