Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 56728.68   | 56797.56   | 14.2259    | 0.0612     | 39.05   
100    | 1.933  | 21446.28   | 21455.89   | 11.0395    | 0.0101     | 4.51    
200    | 1.867  | 18819.13   | 18823.67   | 3.4759     | 0.0055     | 2.17    
300    | 1.800  | 17970.91   | 17975.00   | 1.8911     | 0.0060     | 2.19    
400    | 1.733  | 17442.77   | 17445.91   | 1.9085     | 0.0061     | 2.12    
500    | 1.667  | 17079.04   | 17080.92   | 1.1985     | 0.0057     | 1.97    
600    | 1.600  | 16812.71   | 16813.43   | 0.8374     | 0.0056     | 1.89    
700    | 1.533  | 16604.25   | 16603.76   | 0.5586     | 0.0051     | 1.73    
800    | 1.467  | 16450.65   | 16449.17   | 1.3081     | 0.0047     | 1.57    
900    | 1.400  | 16344.56   | 16342.24   | 0.7389     | 0.0044     | 1.47    
1000   | 1.333  | 16244.27   | 16241.15   | 0.8413     | 0.0041     | 1.38    
1100   | 1.267  | 16156.34   | 16152.59   | 0.9744     | 0.0038     | 1.27    
1200   | 1.200  | 16053.78   | 16049.46   | 0.3753     | 0.0035     | 1.19    
1300   | 1.133  | 15971.80   | 15967.02   | 0.3657     | 0.0033     | 1.12    
1400   | 1.067  | 15913.79   | 15908.77   | 0.2252     | 0.0030     | 1.03    
1500   | 1.000  | 15878.50   | 15873.14   | 0.4129     | 0.0028     | 0.97    
1600   | 0.933  | 15818.14   | 15812.51   | 2.1305     | 0.0027     | 0.92    
1700   | 0.867  | 15748.86   | 15743.04   | 0.2471     | 0.0025     | 0.86    
1800   | 0.800  | 15722.61   | 15716.49   | 0.4234     | 0.0024     | 0.82    
1900   | 0.733  | 15675.41   | 15669.01   | 0.6922     | 0.0024     | 0.80    
2000   | 0.667  | 15627.38   | 15620.96   | 0.5160     | 0.0022     | 0.75    
2100   | 0.600  | 15577.39   | 15570.80   | 0.9299     | 0.0021     | 0.72    
2200   | 0.533  | 15556.15   | 15549.27   | 2.8950     | 0.0021     | 0.70    
2300   | 0.467  | 15511.38   | 15504.38   | 0.8272     | 0.0020     | 0.68    
2400   | 0.400  | 15459.94   | 15453.07   | 1.2364     | 0.0019     | 0.64    
2500   | 0.333  | 15422.40   | 15415.16   | 1.9796     | 0.0018     | 0.63    
2600   | 0.267  | 15393.34   | 15386.03   | 2.8782     | 0.0018     | 0.60    
2700   | 0.200  | 15338.77   | 15331.68   | 7.4026     | 0.0017     | 0.57    
2800   | 0.133  | 15315.75   | 15308.78   | 11.0364    | 0.0016     | 0.54    
2900   | 0.067  | 15242.59   | 15235.57   | 23.1497    | 0.0015     | 0.51    
2999   | 0.050  | 15175.43   | 15168.42   | 36.1242    | 0.0014     | 0.48    
