Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 18890.52   | 19009.31   | 1.8719     | 0.0380     | 77.71   
100    | 1.933  | 8953.31    | 8978.85    | 3.4870     | 0.0095     | 11.89   
200    | 1.867  | 7866.45    | 7873.52    | 0.6026     | 0.0029     | 3.43    
300    | 1.800  | 7589.61    | 7596.07    | 0.4829     | 0.0031     | 3.31    
400    | 1.733  | 7428.35    | 7433.62    | 0.3398     | 0.0031     | 3.18    
500    | 1.667  | 7337.92    | 7341.69    | 0.3762     | 0.0031     | 3.08    
600    | 1.600  | 7263.02    | 7265.29    | 0.2854     | 0.0032     | 3.07    
700    | 1.533  | 7195.75    | 7196.44    | 0.2942     | 0.0032     | 3.03    
800    | 1.467  | 7149.44    | 7148.35    | 0.2091     | 0.0030     | 2.88    
900    | 1.400  | 7091.05    | 7088.49    | 0.3871     | 0.0028     | 2.69    
1000   | 1.333  | 7050.24    | 7046.31    | 0.1226     | 0.0027     | 2.50    
1100   | 1.267  | 7022.81    | 7017.61    | 0.1697     | 0.0025     | 2.36    
1200   | 1.200  | 6995.19    | 6989.03    | 0.1673     | 0.0023     | 2.20    
1300   | 1.133  | 6961.44    | 6954.59    | 0.3180     | 0.0021     | 2.02    
1400   | 1.067  | 6937.17    | 6929.82    | 0.2759     | 0.0020     | 1.84    
1500   | 1.000  | 6917.75    | 6910.00    | 0.0760     | 0.0018     | 1.67    
1600   | 0.933  | 6894.58    | 6886.53    | 0.1169     | 0.0016     | 1.54    
1700   | 0.867  | 6884.59    | 6876.34    | 0.1046     | 0.0015     | 1.41    
1800   | 0.800  | 6870.54    | 6862.36    | 0.1268     | 0.0013     | 1.29    
1900   | 0.733  | 6853.44    | 6845.60    | 0.0813     | 0.0012     | 1.15    
2000   | 0.667  | 6837.85    | 6830.11    | 0.1007     | 0.0011     | 1.06    
2100   | 0.600  | 6827.47    | 6819.99    | 0.4231     | 0.0010     | 0.97    
2200   | 0.533  | 6808.60    | 6801.65    | 0.1810     | 0.0009     | 0.86    
2300   | 0.467  | 6783.48    | 6776.62    | 1.5855     | 0.0008     | 0.81    
2400   | 0.400  | 6749.31    | 6742.67    | 0.4415     | 0.0008     | 0.75    
2500   | 0.333  | 6726.38    | 6720.15    | 0.8245     | 0.0007     | 0.69    
2600   | 0.267  | 6707.51    | 6701.42    | 0.4554     | 0.0007     | 0.65    
2700   | 0.200  | 6682.29    | 6676.72    | 1.0324     | 0.0006     | 0.59    
2800   | 0.133  | 6663.51    | 6658.35    | 2.6168     | 0.0005     | 0.53    
2900   | 0.067  | 6630.49    | 6625.71    | 4.7214     | 0.0005     | 0.48    
2999   | 0.050  | 6601.24    | 6597.72    | 2.1354     | 0.0004     | 0.37    
