Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 59740712.00 | 59740800.00 | 12769.7666 | 0.0492     | 53.91   
100    | 1.933  | 21063332.00 | 21063356.00 | 8529.8584  | 0.0157     | 11.11   
200    | 1.867  | 16316403.00 | 16316416.00 | 3355.0950  | 0.0096     | 5.72    
300    | 1.800  | 14718279.00 | 14718288.00 | 2529.3545  | 0.0095     | 5.34    
400    | 1.733  | 13719428.00 | 13719434.00 | 2197.6814  | 0.0091     | 4.99    
500    | 1.667  | 13068853.00 | 13068859.00 | 1824.0902  | 0.0085     | 4.62    
600    | 1.600  | 12564692.00 | 12564692.00 | 2066.6296  | 0.0079     | 4.24    
700    | 1.533  | 11981778.00 | 11981776.00 | 1976.5099  | 0.0072     | 3.89    
800    | 1.467  | 11539017.00 | 11539013.00 | 1793.0187  | 0.0065     | 3.49    
900    | 1.400  | 11058715.00 | 11058710.00 | 2160.0222  | 0.0058     | 3.09    
1000   | 1.333  | 10663614.00 | 10663608.00 | 1453.1710  | 0.0051     | 2.73    
1100   | 1.267  | 10335584.00 | 10335577.00 | 1186.0502  | 0.0044     | 2.39    
1200   | 1.200  | 10049368.00 | 10049360.00 | 953.9787   | 0.0039     | 2.09    
1300   | 1.133  | 9751085.00 | 9751078.00 | 1398.2542  | 0.0033     | 1.77    
1400   | 1.067  | 9534233.00 | 9534226.00 | 1040.3495  | 0.0029     | 1.59    
1500   | 1.000  | 9357174.00 | 9357167.00 | 1221.3784  | 0.0026     | 1.42    
1600   | 0.933  | 9193598.00 | 9193590.00 | 2060.0034  | 0.0023     | 1.27    
1700   | 0.867  | 9059056.00 | 9059049.00 | 2754.9844  | 0.0021     | 1.16    
1800   | 0.800  | 8966884.00 | 8966877.00 | 754.3246   | 0.0020     | 1.09    
1900   | 0.733  | 8875695.00 | 8875687.00 | 3723.4932  | 0.0018     | 1.00    
2000   | 0.667  | 8787549.00 | 8787541.00 | 4715.5820  | 0.0017     | 0.95    
2100   | 0.600  | 8715438.00 | 8715430.00 | 527.4026   | 0.0017     | 0.92    
2200   | 0.533  | 8665627.00 | 8665619.00 | 845.0137   | 0.0016     | 0.89    
2300   | 0.467  | 8586401.00 | 8586393.00 | 5798.7529  | 0.0015     | 0.84    
2400   | 0.400  | 8498779.00 | 8498770.00 | 1290.7921  | 0.0015     | 0.83    
2500   | 0.333  | 8478531.00 | 8478523.00 | 2072.5056  | 0.0015     | 0.79    
2600   | 0.267  | 8432797.00 | 8432788.00 | 3611.1311  | 0.0014     | 0.79    
2700   | 0.200  | 8366736.50 | 8366728.00 | 2255.1846  | 0.0014     | 0.75    
2800   | 0.133  | 8287845.00 | 8287835.50 | 6733.7280  | 0.0013     | 0.73    
2900   | 0.067  | 8251748.50 | 8251740.50 | 16983.2812 | 0.0012     | 0.64    
2999   | 0.050  | 8178483.50 | 8178476.50 | 8495.6553  | 0.0010     | 0.55    
