Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | -317.64    | 315.98     | 0.0056     | 0.0077     | 605.40  
100    | 1.933  | -425.10    | 159.43     | 0.0054     | 0.0074     | 417.31  
200    | 1.867  | -402.78    | 152.97     | 0.0036     | 0.0073     | 412.65  
300    | 1.800  | -379.57    | 150.91     | 0.0048     | 0.0073     | 410.88  
400    | 1.733  | -357.82    | 148.82     | 0.0069     | 0.0072     | 403.16  
500    | 1.667  | -336.69    | 146.83     | 0.0087     | 0.0071     | 394.03  
600    | 1.600  | -316.05    | 143.18     | 0.0108     | 0.0070     | 381.54  
700    | 1.533  | -296.91    | 138.05     | 0.0154     | 0.0068     | 368.19  
800    | 1.467  | -282.85    | 126.32     | 0.0183     | 0.0065     | 351.87  
900    | 1.400  | -275.07    | 110.48     | 0.0221     | 0.0062     | 336.61  
1000   | 1.333  | -268.03    | 97.40      | 0.0182     | 0.0059     | 325.90  
1100   | 1.267  | -257.62    | 89.63      | 0.0176     | 0.0057     | 319.13  
1200   | 1.200  | -246.48    | 82.47      | 0.0178     | 0.0056     | 313.29  
1300   | 1.133  | -234.74    | 76.87      | 0.0162     | 0.0054     | 308.45  
1400   | 1.067  | -222.78    | 72.11      | 0.0153     | 0.0053     | 303.42  
1500   | 1.000  | -211.00    | 68.24      | 0.0162     | 0.0051     | 299.14  
1600   | 0.933  | -199.70    | 64.81      | 0.0169     | 0.0050     | 295.71  
1700   | 0.867  | -188.43    | 62.31      | 0.0156     | 0.0049     | 292.64  
1800   | 0.800  | -177.56    | 60.07      | 0.0145     | 0.0048     | 290.52  
1900   | 0.733  | -166.70    | 58.28      | 0.0161     | 0.0047     | 288.42  
2000   | 0.667  | -155.81    | 56.99      | 0.0174     | 0.0046     | 285.93  
2100   | 0.600  | -145.32    | 55.95      | 0.0155     | 0.0045     | 283.34  
2200   | 0.533  | -135.00    | 55.26      | 0.0147     | 0.0045     | 279.54  
2300   | 0.467  | -125.62    | 54.65      | 0.0167     | 0.0044     | 273.62  
2400   | 0.400  | -117.04    | 54.44      | 0.0188     | 0.0043     | 263.15  
2500   | 0.333  | -109.06    | 54.11      | 0.0261     | 0.0042     | 250.18  
2600   | 0.267  | -99.53     | 53.71      | 0.0380     | 0.0041     | 239.11  
2700   | 0.200  | -88.31     | 53.15      | 0.0532     | 0.0040     | 231.32  
2800   | 0.133  | -13.25     | 51.14      | 0.8213     | 0.0027     | 84.16   
2900   | 0.067  | 28.22      | 50.28      | 1.2074     | 0.0024     | 71.04   
2999   | 0.050  | 70.98      | 49.88      | 0.8651     | 0.0017     | 45.11   
