Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 221.54     | 295.41     | 0.0195     | 0.0577     | 42.68   
100    | 1.933  | 218.54     | 273.33     | 0.0030     | 0.0487     | 26.91   
200    | 1.867  | 226.82     | 270.87     | 0.0036     | 0.0465     | 24.77   
300    | 1.800  | 233.85     | 266.70     | 0.0049     | 0.0408     | 20.90   
400    | 1.733  | 238.95     | 262.08     | 0.0066     | 0.0333     | 16.68   
500    | 1.667  | 239.24     | 255.70     | 0.0248     | 0.0267     | 13.21   
600    | 1.600  | 235.93     | 247.35     | 0.0359     | 0.0220     | 10.62   
700    | 1.533  | 226.45     | 233.78     | 0.0541     | 0.0181     | 8.50    
800    | 1.467  | 218.99     | 222.99     | 0.0128     | 0.0148     | 6.69    
900    | 1.400  | 212.51     | 213.93     | 0.0195     | 0.0125     | 5.40    
1000   | 1.333  | 209.77     | 209.09     | 0.0097     | 0.0107     | 4.49    
1100   | 1.267  | 208.15     | 205.86     | 0.0120     | 0.0094     | 3.86    
1200   | 1.200  | 206.79     | 203.19     | 0.0113     | 0.0080     | 3.28    
1300   | 1.133  | 205.22     | 200.92     | 0.0126     | 0.0067     | 2.73    
1400   | 1.067  | 203.35     | 198.74     | 0.0071     | 0.0053     | 2.19    
1500   | 1.000  | 202.56     | 197.64     | 0.0053     | 0.0045     | 1.85    
1600   | 0.933  | 202.06     | 196.74     | 0.0056     | 0.0039     | 1.64    
1700   | 0.867  | 201.63     | 195.74     | 0.0040     | 0.0036     | 1.50    
1800   | 0.800  | 201.84     | 195.63     | 0.0034     | 0.0032     | 1.37    
1900   | 0.733  | 201.66     | 195.06     | 0.0044     | 0.0030     | 1.30    
2000   | 0.667  | 201.83     | 194.71     | 0.0100     | 0.0029     | 1.26    
2100   | 0.600  | 201.79     | 194.24     | 0.0061     | 0.0028     | 1.22    
2200   | 0.533  | 201.70     | 193.67     | 0.0291     | 0.0028     | 1.20    
2300   | 0.467  | 201.80     | 193.43     | 0.0074     | 0.0027     | 1.17    
2400   | 0.400  | 201.54     | 193.19     | 0.0061     | 0.0025     | 1.09    
2500   | 0.333  | 200.90     | 192.80     | 0.0863     | 0.0023     | 1.03    
2600   | 0.267  | 200.91     | 192.74     | 0.0590     | 0.0022     | 0.98    
2700   | 0.200  | 200.89     | 192.43     | 0.0540     | 0.0021     | 0.96    
2800   | 0.133  | 201.20     | 192.23     | 0.0490     | 0.0021     | 0.96    
2900   | 0.067  | 201.34     | 191.89     | 0.0013     | 0.0021     | 0.95    
2999   | 0.050  | 201.57     | 191.62     | 0.0000     | 0.0021     | 0.95    
