Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | -16.49     | 57.37      | 0.0180     | 0.0577     | 42.67   
100    | 1.933  | -18.84     | 42.92      | 0.0034     | 0.0535     | 32.83   
200    | 1.867  | -12.90     | 40.96      | 0.0036     | 0.0528     | 31.58   
300    | 1.800  | -5.99      | 39.99      | 0.0041     | 0.0516     | 30.47   
400    | 1.733  | 0.85       | 38.00      | 0.0042     | 0.0489     | 27.97   
500    | 1.667  | 7.18       | 35.89      | 0.0051     | 0.0453     | 25.16   
600    | 1.600  | 12.86      | 33.72      | 0.0059     | 0.0402     | 21.97   
700    | 1.533  | 16.65      | 31.21      | 0.0072     | 0.0340     | 18.39   
800    | 1.467  | 18.59      | 28.51      | 0.0077     | 0.0286     | 15.53   
900    | 1.400  | 20.47      | 26.68      | 0.0073     | 0.0244     | 13.18   
1000   | 1.333  | 21.70      | 24.98      | 0.0059     | 0.0191     | 9.81    
1100   | 1.267  | 22.99      | 24.09      | 0.0050     | 0.0128     | 5.89    
1200   | 1.200  | 23.84      | 23.11      | 0.0049     | 0.0106     | 4.66    
1300   | 1.133  | 24.91      | 22.77      | 0.0030     | 0.0088     | 3.77    
1400   | 1.067  | 25.76      | 22.53      | 0.0037     | 0.0074     | 3.07    
1500   | 1.000  | 26.34      | 22.25      | 0.0043     | 0.0060     | 2.47    
1600   | 0.933  | 26.55      | 22.09      | 0.0046     | 0.0048     | 1.95    
1700   | 0.867  | 26.96      | 21.92      | 0.0040     | 0.0041     | 1.68    
1800   | 0.800  | 27.51      | 21.85      | 0.0059     | 0.0037     | 1.53    
1900   | 0.733  | 27.74      | 21.68      | 0.0035     | 0.0034     | 1.39    
2000   | 0.667  | 27.99      | 21.49      | 0.0077     | 0.0032     | 1.32    
2100   | 0.600  | 28.24      | 21.37      | 0.0035     | 0.0030     | 1.26    
2200   | 0.533  | 28.14      | 21.25      | 0.0145     | 0.0027     | 1.16    
2300   | 0.467  | 27.96      | 21.14      | 0.0047     | 0.0025     | 1.08    
2400   | 0.400  | 27.87      | 21.01      | 0.0174     | 0.0023     | 1.03    
2500   | 0.333  | 27.34      | 20.97      | 0.0072     | 0.0020     | 0.92    
2600   | 0.267  | 27.19      | 20.76      | 0.0095     | 0.0020     | 0.90    
2700   | 0.200  | 27.15      | 20.61      | 0.0001     | 0.0019     | 0.88    
2800   | 0.133  | 27.21      | 20.52      | 0.0036     | 0.0019     | 0.86    
2900   | 0.067  | 27.31      | 20.33      | 0.0000     | 0.0018     | 0.86    
2999   | 0.050  | 27.47      | 20.31      | 0.0006     | 0.0018     | 0.83    
