Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | -73.88     | 0.00       | 0.0148     | 0.0577     | 42.69   
100    | 1.933  | -70.61     | 0.00       | 0.0000     | 0.0586     | 44.36   
200    | 1.867  | -66.22     | 0.00       | 0.0000     | 0.0586     | 44.36   
300    | 1.800  | -61.82     | 0.00       | 0.0000     | 0.0586     | 44.36   
400    | 1.733  | -57.43     | 0.00       | 0.0000     | 0.0586     | 44.36   
500    | 1.667  | -53.03     | 0.00       | 0.0000     | 0.0586     | 44.36   
600    | 1.600  | -48.64     | 0.00       | 0.0000     | 0.0586     | 44.36   
700    | 1.533  | -44.24     | 0.00       | 0.0000     | 0.0586     | 44.36   
800    | 1.467  | -39.85     | 0.00       | 0.0000     | 0.0586     | 44.36   
900    | 1.400  | -35.45     | 0.00       | 0.0000     | 0.0586     | 44.36   
1000   | 1.333  | -31.06     | 0.00       | 0.0000     | 0.0586     | 44.36   
1100   | 1.267  | -26.66     | 0.00       | 0.0000     | 0.0586     | 44.36   
1200   | 1.200  | -22.27     | 0.00       | 0.0000     | 0.0586     | 44.36   
1300   | 1.133  | -17.88     | 0.00       | 0.0000     | 0.0586     | 44.36   
1400   | 1.067  | -13.48     | 0.00       | 0.0000     | 0.0586     | 44.36   
1500   | 1.000  | -9.09      | 0.00       | 0.0000     | 0.0586     | 44.36   
1600   | 0.933  | -4.69      | 0.00       | 0.0000     | 0.0586     | 44.36   
1700   | 0.867  | -0.30      | 0.00       | 0.0000     | 0.0586     | 44.36   
1800   | 0.800  | 0.00       | 0.00       | 0.0000     | 0.0000     | 0.00    
1900   | 0.733  | 0.00       | 0.00       | 0.0000     | 0.0000     | 0.00    
2000   | 0.667  | 0.00       | 0.00       | 0.0000     | 0.0000     | 0.00    
2100   | 0.600  | 0.00       | 0.00       | 0.0000     | 0.0000     | 0.00    
2200   | 0.533  | 0.00       | 0.00       | 0.0000     | 0.0000     | 0.00    
2300   | 0.467  | 0.00       | 0.00       | 0.0000     | 0.0000     | 0.00    
2400   | 0.400  | 0.00       | 0.00       | 0.0000     | 0.0000     | 0.00    
2500   | 0.333  | 0.00       | 0.00       | 0.0000     | 0.0000     | 0.00    
2600   | 0.267  | 0.00       | 0.00       | 0.0000     | 0.0000     | 0.00    
2700   | 0.200  | 0.00       | 0.00       | 0.0000     | 0.0000     | 0.00    
2800   | 0.133  | 0.00       | 0.00       | 0.0000     | 0.0000     | 0.00    
2900   | 0.067  | 0.00       | 0.00       | 0.0000     | 0.0000     | -0.00   
2999   | 0.050  | 0.00       | 0.00       | 0.0000     | 0.0000     | -0.00   
