Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | -22.89     | 50.99      | 0.0193     | 0.0577     | 42.69   
100    | 1.933  | -28.18     | 29.41      | 0.0041     | 0.0507     | 29.14   
200    | 1.867  | -21.26     | 26.27      | 0.0041     | 0.0488     | 26.75   
300    | 1.800  | -14.28     | 23.04      | 0.0054     | 0.0447     | 23.80   
400    | 1.733  | -8.37      | 19.20      | 0.0057     | 0.0386     | 20.44   
500    | 1.667  | -3.33      | 17.09      | 0.0059     | 0.0347     | 18.12   
600    | 1.600  | 1.04       | 15.19      | 0.0053     | 0.0297     | 15.52   
700    | 1.533  | 4.40       | 13.20      | 0.0047     | 0.0236     | 12.53   
800    | 1.467  | 6.63       | 11.81      | 0.0047     | 0.0189     | 10.20   
900    | 1.400  | 8.57       | 11.20      | 0.0045     | 0.0157     | 8.45    
1000   | 1.333  | 9.72       | 10.75      | 0.0032     | 0.0099     | 4.91    
1100   | 1.267  | 10.60      | 10.51      | 0.0040     | 0.0067     | 3.02    
1200   | 1.200  | 11.34      | 10.34      | 0.0017     | 0.0054     | 2.38    
1300   | 1.133  | 11.76      | 10.25      | 0.0027     | 0.0042     | 1.82    
1400   | 1.067  | 12.18      | 10.14      | 0.0021     | 0.0034     | 1.44    
1500   | 1.000  | 12.44      | 10.10      | 0.0032     | 0.0028     | 1.18    
1600   | 0.933  | 12.70      | 10.13      | 0.0015     | 0.0025     | 1.02    
1700   | 0.867  | 12.86      | 10.04      | 0.0028     | 0.0022     | 0.91    
1800   | 0.800  | 13.16      | 10.01      | 0.0002     | 0.0020     | 0.83    
1900   | 0.733  | 13.55      | 10.02      | 0.0015     | 0.0019     | 0.80    
2000   | 0.667  | 13.57      | 10.00      | 0.0044     | 0.0018     | 0.73    
2100   | 0.600  | 13.52      | 9.95       | 0.0053     | 0.0016     | 0.68    
2200   | 0.533  | 13.33      | 9.90       | 0.0027     | 0.0015     | 0.62    
2300   | 0.467  | 13.27      | 9.89       | 0.0000     | 0.0013     | 0.57    
2400   | 0.400  | 13.12      | 9.88       | 0.0176     | 0.0012     | 0.52    
2500   | 0.333  | 12.20      | 9.83       | 0.0040     | 0.0009     | 0.40    
2600   | 0.267  | 12.03      | 9.83       | 0.0003     | 0.0008     | 0.37    
2700   | 0.200  | 11.86      | 9.82       | 0.0000     | 0.0007     | 0.34    
2800   | 0.133  | 11.90      | 9.75       | 0.0000     | 0.0007     | 0.35    
2900   | 0.067  | 11.71      | 9.73       | 0.0000     | 0.0007     | 0.33    
2999   | 0.050  | 11.79      | 9.74       | 0.0000     | 0.0007     | 0.32    
