Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | -46.25     | 27.61      | 0.0171     | 0.0577     | 42.68   
100    | 1.933  | -46.94     | 17.42      | 0.0025     | 0.0551     | 35.55   
200    | 1.867  | -40.93     | 16.52      | 0.0026     | 0.0547     | 34.91   
300    | 1.800  | -34.32     | 16.36      | 0.0022     | 0.0546     | 34.56   
400    | 1.733  | -27.72     | 16.01      | 0.0033     | 0.0537     | 33.38   
500    | 1.667  | -22.14     | 14.21      | 0.0056     | 0.0494     | 29.96   
600    | 1.600  | -17.43     | 12.91      | 0.0061     | 0.0455     | 26.98   
700    | 1.533  | -12.75     | 11.63      | 0.0063     | 0.0421     | 24.12   
800    | 1.467  | -8.45      | 10.25      | 0.0070     | 0.0380     | 21.42   
900    | 1.400  | -4.62      | 8.89       | 0.0067     | 0.0336     | 18.81   
1000   | 1.333  | -1.19      | 7.85       | 0.0061     | 0.0295     | 16.38   
1100   | 1.267  | 1.66       | 6.98       | 0.0056     | 0.0248     | 13.53   
1200   | 1.200  | 4.22       | 6.57       | 0.0049     | 0.0197     | 10.40   
1300   | 1.133  | 6.02       | 6.32       | 0.0034     | 0.0126     | 6.12    
1400   | 1.067  | 7.35       | 6.26       | 0.0027     | 0.0090     | 4.06    
1500   | 1.000  | 8.34       | 6.21       | 0.0018     | 0.0072     | 3.11    
1600   | 0.933  | 9.09       | 6.18       | 0.0023     | 0.0058     | 2.40    
1700   | 0.867  | 9.73       | 6.15       | 0.0036     | 0.0046     | 1.87    
1800   | 0.800  | 10.20      | 6.13       | 0.0038     | 0.0036     | 1.46    
1900   | 0.733  | 10.61      | 6.09       | 0.0012     | 0.0031     | 1.25    
2000   | 0.667  | 10.99      | 6.07       | 0.0089     | 0.0028     | 1.13    
2100   | 0.600  | 11.39      | 6.06       | 0.0001     | 0.0026     | 1.05    
2200   | 0.533  | 11.54      | 6.04       | 0.0033     | 0.0024     | 0.96    
2300   | 0.467  | 11.61      | 6.03       | 0.0075     | 0.0022     | 0.88    
2400   | 0.400  | 11.33      | 6.01       | 0.0380     | 0.0019     | 0.78    
2500   | 0.333  | 10.50      | 5.96       | 0.0002     | 0.0015     | 0.63    
2600   | 0.267  | 9.91       | 5.95       | 0.0002     | 0.0012     | 0.53    
2700   | 0.200  | 9.74       | 5.94       | 0.0000     | 0.0010     | 0.48    
2800   | 0.133  | 9.69       | 5.91       | 0.0000     | 0.0010     | 0.46    
2900   | 0.067  | 9.79       | 5.90       | 0.0000     | 0.0010     | 0.46    
2999   | 0.050  | 9.87       | 5.88       | 0.0000     | 0.0010     | 0.46    
