Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 749.70     | 903.44     | 0.0309     | 0.0300     | 107.25  
100    | 1.933  | 612.56     | 720.97     | 0.0302     | 0.0235     | 54.80   
200    | 1.867  | 615.23     | 694.17     | 0.0152     | 0.0205     | 43.75   
300    | 1.800  | 624.99     | 683.18     | 0.0112     | 0.0187     | 39.07   
400    | 1.733  | 630.95     | 671.53     | 0.0445     | 0.0161     | 33.86   
500    | 1.667  | 622.98     | 650.84     | 0.0866     | 0.0132     | 28.16   
600    | 1.600  | 606.64     | 626.71     | 0.0523     | 0.0107     | 23.54   
700    | 1.533  | 588.24     | 603.26     | 0.0807     | 0.0094     | 20.86   
800    | 1.467  | 569.06     | 580.31     | 0.0616     | 0.0084     | 18.87   
900    | 1.400  | 559.89     | 567.46     | 0.0571     | 0.0078     | 17.66   
1000   | 1.333  | 546.44     | 550.75     | 0.0392     | 0.0072     | 16.39   
1100   | 1.267  | 540.01     | 541.16     | 0.0408     | 0.0067     | 15.12   
1200   | 1.200  | 531.87     | 530.44     | 0.0578     | 0.0061     | 13.57   
1300   | 1.133  | 526.68     | 522.99     | 0.0429     | 0.0055     | 11.82   
1400   | 1.067  | 521.66     | 515.83     | 0.0199     | 0.0048     | 10.04   
1500   | 1.000  | 519.20     | 511.82     | 0.0136     | 0.0038     | 7.62    
1600   | 0.933  | 518.75     | 510.34     | 0.0079     | 0.0030     | 5.65    
1700   | 0.867  | 517.04     | 507.69     | 0.0117     | 0.0023     | 4.25    
1800   | 0.800  | 516.42     | 506.54     | 0.0077     | 0.0017     | 3.05    
1900   | 0.733  | 516.51     | 505.97     | 0.0080     | 0.0015     | 2.46    
2000   | 0.667  | 516.54     | 505.18     | 0.0131     | 0.0013     | 2.18    
2100   | 0.600  | 516.42     | 504.12     | 0.0187     | 0.0012     | 2.09    
2200   | 0.533  | 514.26     | 501.14     | 0.0170     | 0.0012     | 2.04    
2300   | 0.467  | 511.78     | 497.82     | 0.0851     | 0.0012     | 2.02    
2400   | 0.400  | 508.51     | 494.23     | 0.0107     | 0.0012     | 1.96    
2500   | 0.333  | 507.74     | 493.17     | 0.0173     | 0.0011     | 1.88    
2600   | 0.267  | 504.12     | 489.47     | 0.3107     | 0.0010     | 1.80    
2700   | 0.200  | 499.60     | 484.43     | 0.0169     | 0.0010     | 1.79    
2800   | 0.133  | 497.07     | 481.75     | 0.0159     | 0.0010     | 1.75    
2900   | 0.067  | 493.81     | 478.65     | 0.1127     | 0.0009     | 1.67    
2999   | 0.050  | 491.65     | 475.92     | 0.0298     | 0.0009     | 1.66    
