Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 195.39     | 349.13     | 0.0178     | 0.0300     | 107.24  
100    | 1.933  | 140.19     | 260.33     | 0.0118     | 0.0257     | 64.25   
200    | 1.867  | 150.37     | 249.67     | 0.0075     | 0.0245     | 58.15   
300    | 1.800  | 162.32     | 243.52     | 0.0074     | 0.0232     | 54.27   
400    | 1.733  | 172.14     | 236.82     | 0.0203     | 0.0212     | 49.21   
500    | 1.667  | 169.12     | 219.91     | 0.0345     | 0.0187     | 43.46   
600    | 1.600  | 161.70     | 201.53     | 0.0329     | 0.0164     | 38.55   
700    | 1.533  | 154.61     | 185.86     | 0.0206     | 0.0143     | 34.25   
800    | 1.467  | 148.38     | 173.05     | 0.0329     | 0.0127     | 31.07   
900    | 1.400  | 144.40     | 163.45     | 0.0162     | 0.0115     | 28.30   
1000   | 1.333  | 143.40     | 157.73     | 0.0198     | 0.0105     | 26.00   
1100   | 1.267  | 143.62     | 153.57     | 0.0099     | 0.0097     | 24.02   
1200   | 1.200  | 145.33     | 151.09     | 0.0099     | 0.0090     | 22.00   
1300   | 1.133  | 146.76     | 148.90     | 0.0132     | 0.0082     | 19.90   
1400   | 1.067  | 148.20     | 147.11     | 0.0095     | 0.0074     | 17.80   
1500   | 1.000  | 149.17     | 145.43     | 0.0123     | 0.0066     | 15.59   
1600   | 0.933  | 150.42     | 144.19     | 0.0060     | 0.0057     | 13.47   
1700   | 0.867  | 151.60     | 143.42     | 0.0133     | 0.0049     | 11.46   
1800   | 0.800  | 153.04     | 142.86     | 0.0057     | 0.0040     | 9.09    
1900   | 0.733  | 153.79     | 142.05     | 0.0034     | 0.0030     | 6.08    
2000   | 0.667  | 154.88     | 141.88     | 0.0111     | 0.0022     | 4.09    
2100   | 0.600  | 155.08     | 141.32     | 0.0142     | 0.0017     | 2.97    
2200   | 0.533  | 155.08     | 140.79     | 0.0029     | 0.0014     | 2.52    
2300   | 0.467  | 155.20     | 140.25     | 0.0170     | 0.0013     | 2.35    
2400   | 0.400  | 155.50     | 139.92     | 0.0034     | 0.0013     | 2.25    
2500   | 0.333  | 155.11     | 139.39     | 0.0132     | 0.0012     | 2.12    
2600   | 0.267  | 154.98     | 138.68     | 0.0563     | 0.0012     | 2.07    
2700   | 0.200  | 153.85     | 137.28     | 0.0046     | 0.0011     | 2.00    
2800   | 0.133  | 153.61     | 136.51     | 0.2272     | 0.0011     | 1.95    
2900   | 0.067  | 152.54     | 134.94     | 0.0203     | 0.0010     | 1.92    
2999   | 0.050  | 152.47     | 134.09     | 0.0013     | 0.0010     | 1.93    
