Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | -110.87    | 42.87      | 0.0117     | 0.0300     | 107.25  
100    | 1.933  | -117.79    | 16.44      | 0.0029     | 0.0280     | 82.81   
200    | 1.867  | -107.98    | 15.44      | 0.0031     | 0.0278     | 82.46   
300    | 1.800  | -99.17     | 13.79      | 0.0047     | 0.0272     | 80.39   
400    | 1.733  | -91.47     | 11.88      | 0.0057     | 0.0262     | 77.61   
500    | 1.667  | -85.26     | 10.15      | 0.0071     | 0.0250     | 74.20   
600    | 1.600  | -79.90     | 8.89       | 0.0076     | 0.0238     | 71.27   
700    | 1.533  | -74.46     | 8.30       | 0.0067     | 0.0231     | 69.54   
800    | 1.467  | -69.20     | 7.64       | 0.0076     | 0.0225     | 67.81   
900    | 1.400  | -63.93     | 6.80       | 0.0075     | 0.0219     | 66.38   
1000   | 1.333  | -58.89     | 6.03       | 0.0079     | 0.0214     | 64.97   
1100   | 1.267  | -53.74     | 5.47       | 0.0073     | 0.0210     | 64.01   
1200   | 1.200  | -48.81     | 4.95       | 0.0075     | 0.0206     | 63.15   
1300   | 1.133  | -43.91     | 4.63       | 0.0070     | 0.0202     | 62.32   
1400   | 1.067  | -38.87     | 4.40       | 0.0066     | 0.0198     | 61.56   
1500   | 1.000  | -34.16     | 4.13       | 0.0062     | 0.0193     | 60.25   
1600   | 0.933  | -29.72     | 3.81       | 0.0061     | 0.0187     | 58.62   
1700   | 0.867  | -25.31     | 3.53       | 0.0048     | 0.0180     | 56.76   
1800   | 0.800  | -20.94     | 3.39       | 0.0039     | 0.0173     | 54.57   
1900   | 0.733  | -16.73     | 3.33       | 0.0091     | 0.0166     | 52.28   
2000   | 0.667  | -12.69     | 3.34       | 0.0029     | 0.0157     | 49.06   
2100   | 0.600  | -8.75      | 3.33       | 0.0031     | 0.0146     | 45.07   
2200   | 0.533  | -5.13      | 3.33       | 0.0104     | 0.0132     | 40.06   
2300   | 0.467  | -1.69      | 3.32       | 0.0024     | 0.0112     | 33.54   
2400   | 0.400  | 1.22       | 3.32       | 0.0029     | 0.0089     | 26.14   
2500   | 0.333  | 3.52       | 3.31       | 0.0037     | 0.0060     | 16.43   
2600   | 0.267  | 5.14       | 3.30       | 0.0040     | 0.0028     | 6.84    
2700   | 0.200  | 5.94       | 3.30       | 0.0036     | 0.0011     | 2.16    
2800   | 0.133  | 6.31       | 3.29       | 0.0088     | 0.0006     | 1.10    
2900   | 0.067  | 6.41       | 3.29       | 0.0593     | 0.0005     | 0.92    
2999   | 0.050  | 6.65       | 3.29       | 0.0298     | 0.0005     | 0.90    
