Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 498.54     | 652.29     | 0.0196     | 0.0300     | 107.27  
100    | 1.933  | 437.18     | 546.92     | 0.0120     | 0.0239     | 54.80   
200    | 1.867  | 449.10     | 535.06     | 0.0081     | 0.0223     | 48.28   
300    | 1.800  | 461.86     | 527.00     | 0.0079     | 0.0204     | 43.37   
400    | 1.733  | 468.89     | 515.84     | 0.0236     | 0.0175     | 36.94   
500    | 1.667  | 458.54     | 491.56     | 0.0665     | 0.0144     | 30.38   
600    | 1.600  | 433.50     | 457.23     | 0.0641     | 0.0115     | 24.56   
700    | 1.533  | 415.27     | 432.79     | 0.0560     | 0.0096     | 20.70   
800    | 1.467  | 401.72     | 414.71     | 0.0253     | 0.0086     | 18.51   
900    | 1.400  | 393.86     | 402.54     | 0.0267     | 0.0078     | 16.64   
1000   | 1.333  | 386.92     | 391.94     | 0.0363     | 0.0071     | 15.03   
1100   | 1.267  | 381.54     | 383.02     | 0.0238     | 0.0065     | 13.54   
1200   | 1.200  | 378.01     | 376.36     | 0.0322     | 0.0058     | 11.95   
1300   | 1.133  | 376.62     | 372.35     | 0.0355     | 0.0051     | 10.30   
1400   | 1.067  | 375.91     | 369.40     | 0.0375     | 0.0044     | 8.69    
1500   | 1.000  | 375.29     | 366.98     | 0.0246     | 0.0037     | 6.97    
1600   | 0.933  | 374.53     | 364.87     | 0.0369     | 0.0029     | 5.25    
1700   | 0.867  | 373.85     | 363.31     | 0.0470     | 0.0023     | 3.91    
1800   | 0.800  | 373.42     | 361.98     | 0.0428     | 0.0018     | 2.98    
1900   | 0.733  | 373.96     | 361.63     | 0.0306     | 0.0015     | 2.62    
2000   | 0.667  | 373.65     | 360.60     | 0.0329     | 0.0014     | 2.41    
2100   | 0.600  | 372.54     | 358.71     | 0.0410     | 0.0014     | 2.33    
2200   | 0.533  | 370.98     | 356.59     | 0.0857     | 0.0013     | 2.21    
2300   | 0.467  | 370.43     | 355.55     | 0.0783     | 0.0012     | 2.13    
2400   | 0.400  | 369.95     | 354.98     | 0.0533     | 0.0011     | 2.01    
2500   | 0.333  | 368.05     | 352.96     | 0.0609     | 0.0011     | 1.93    
2600   | 0.267  | 367.01     | 351.52     | 0.0634     | 0.0010     | 1.87    
2700   | 0.200  | 365.99     | 349.97     | 0.2074     | 0.0010     | 1.84    
2800   | 0.133  | 364.16     | 347.78     | 0.1499     | 0.0010     | 1.79    
2900   | 0.067  | 363.04     | 346.09     | 0.1137     | 0.0010     | 1.79    
2999   | 0.050  | 363.48     | 345.88     | 0.0030     | 0.0010     | 1.76    
