Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | -39.53     | 274.12     | 0.0084     | 0.0153     | 258.49  
100    | 1.933  | -90.64     | 191.07     | 0.0050     | 0.0144     | 182.77  
200    | 1.867  | -75.51     | 187.21     | 0.0036     | 0.0143     | 178.75  
300    | 1.800  | -60.07     | 185.20     | 0.0049     | 0.0142     | 175.31  
400    | 1.733  | -45.73     | 181.83     | 0.0068     | 0.0139     | 168.93  
500    | 1.667  | -34.26     | 176.31     | 0.0135     | 0.0134     | 162.22  
600    | 1.600  | -27.11     | 167.10     | 0.0220     | 0.0130     | 155.60  
700    | 1.533  | -24.68     | 151.58     | 0.0257     | 0.0125     | 147.96  
800    | 1.467  | -29.13     | 128.85     | 0.0287     | 0.0117     | 138.90  
900    | 1.400  | -33.53     | 107.93     | 0.0229     | 0.0109     | 130.01  
1000   | 1.333  | -34.38     | 93.51      | 0.0167     | 0.0101     | 122.76  
1100   | 1.267  | -31.07     | 85.66      | 0.0181     | 0.0095     | 117.05  
1200   | 1.200  | -27.95     | 79.11      | 0.0185     | 0.0089     | 112.27  
1300   | 1.133  | -22.93     | 75.52      | 0.0131     | 0.0086     | 108.99  
1400   | 1.067  | -16.74     | 73.41      | 0.0134     | 0.0083     | 106.40  
1500   | 1.000  | -10.54     | 71.83      | 0.0109     | 0.0080     | 103.93  
1600   | 0.933  | -4.39      | 70.64      | 0.0089     | 0.0078     | 101.57  
1700   | 0.867  | 2.02       | 69.66      | 0.0116     | 0.0076     | 99.74   
1800   | 0.800  | 7.77       | 68.31      | 0.0090     | 0.0074     | 97.71   
1900   | 0.733  | 13.91      | 67.60      | 0.0105     | 0.0072     | 95.98   
2000   | 0.667  | 19.74      | 66.91      | 0.0116     | 0.0070     | 94.18   
2100   | 0.600  | 25.41      | 66.25      | 0.0074     | 0.0069     | 92.36   
2200   | 0.533  | 31.26      | 65.86      | 0.0076     | 0.0067     | 89.85   
2300   | 0.467  | 36.78      | 65.59      | 0.0064     | 0.0065     | 87.03   
2400   | 0.400  | 42.12      | 65.20      | 0.0073     | 0.0063     | 83.25   
2500   | 0.333  | 47.01      | 64.66      | 0.0144     | 0.0060     | 78.84   
2600   | 0.267  | 52.30      | 64.22      | 0.0062     | 0.0058     | 74.52   
2700   | 0.200  | 57.87      | 63.83      | 0.0089     | 0.0056     | 70.61   
2800   | 0.133  | 71.46      | 63.36      | 0.2287     | 0.0039     | 34.21   
2900   | 0.067  | 83.54      | 62.74      | 0.1216     | 0.0027     | 19.19   
2999   | 0.050  | 88.80      | 62.68      | 0.0323     | 0.0009     | 6.55    
