Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 1677.36    | 1731.28    | 0.0782     | 0.0749     | 28.61   
100    | 1.933  | 1595.77    | 1613.27    | 0.0422     | 0.0291     | 7.70    
200    | 1.867  | 1576.75    | 1588.46    | 0.0534     | 0.0242     | 5.93    
300    | 1.800  | 1560.88    | 1567.97    | 0.0414     | 0.0193     | 4.48    
400    | 1.733  | 1553.91    | 1557.93    | 0.0247     | 0.0164     | 3.73    
500    | 1.667  | 1550.02    | 1551.77    | 0.0268     | 0.0148     | 3.32    
600    | 1.600  | 1540.84    | 1540.81    | 0.0318     | 0.0134     | 2.97    
700    | 1.533  | 1531.96    | 1530.48    | 0.1578     | 0.0126     | 2.78    
800    | 1.467  | 1520.80    | 1518.20    | 0.0225     | 0.0117     | 2.57    
900    | 1.400  | 1510.19    | 1506.48    | 0.0586     | 0.0107     | 2.33    
1000   | 1.333  | 1500.45    | 1495.75    | 0.0720     | 0.0098     | 2.13    
1100   | 1.267  | 1491.08    | 1485.61    | 0.0585     | 0.0088     | 1.90    
1200   | 1.200  | 1480.89    | 1475.01    | 0.0373     | 0.0078     | 1.69    
1300   | 1.133  | 1478.03    | 1471.98    | 0.0094     | 0.0069     | 1.49    
1400   | 1.067  | 1473.60    | 1467.50    | 0.0189     | 0.0061     | 1.33    
1500   | 1.000  | 1468.84    | 1462.68    | 0.1677     | 0.0055     | 1.20    
1600   | 0.933  | 1461.48    | 1455.66    | 0.1108     | 0.0048     | 1.05    
1700   | 0.867  | 1458.38    | 1452.71    | 0.0203     | 0.0042     | 0.94    
1800   | 0.800  | 1457.35    | 1451.63    | 0.2063     | 0.0039     | 0.86    
1900   | 0.733  | 1453.20    | 1447.84    | 0.0188     | 0.0034     | 0.76    
2000   | 0.667  | 1451.18    | 1446.00    | 0.0124     | 0.0031     | 0.68    
2100   | 0.600  | 1449.68    | 1444.69    | 0.0009     | 0.0028     | 0.62    
2200   | 0.533  | 1448.08    | 1443.34    | 0.1561     | 0.0025     | 0.56    
2300   | 0.467  | 1440.92    | 1436.48    | 0.0442     | 0.0023     | 0.52    
2400   | 0.400  | 1433.76    | 1429.40    | 0.0006     | 0.0022     | 0.50    
2500   | 0.333  | 1429.49    | 1425.30    | 0.0075     | 0.0021     | 0.47    
2600   | 0.267  | 1420.84    | 1416.51    | 0.0936     | 0.0021     | 0.48    
2700   | 0.200  | 1417.21    | 1412.87    | 0.0111     | 0.0020     | 0.45    
2800   | 0.133  | 1409.40    | 1405.23    | 0.0159     | 0.0019     | 0.43    
2900   | 0.067  | 1404.20    | 1400.62    | 0.0392     | 0.0017     | 0.37    
2999   | 0.050  | 1392.12    | 1389.56    | 0.0036     | 0.0014     | 0.32    
