Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 130266.21  | 130409.96  | 3.6916     | 0.0319     | 98.63   
100    | 1.933  | 104617.73  | 104668.25  | 12.9504    | 0.0130     | 22.88   
200    | 1.867  | 94550.16   | 94571.34   | 8.3090     | 0.0065     | 10.27   
300    | 1.800  | 89641.26   | 89656.80   | 5.7187     | 0.0059     | 8.68    
400    | 1.733  | 86328.32   | 86338.93   | 5.5699     | 0.0055     | 7.81    
500    | 1.667  | 83914.66   | 83921.05   | 3.2448     | 0.0053     | 7.31    
600    | 1.600  | 81877.20   | 81879.50   | 3.5277     | 0.0049     | 6.73    
700    | 1.533  | 79796.88   | 79795.70   | 4.6249     | 0.0044     | 5.96    
800    | 1.467  | 78152.18   | 78148.41   | 2.8586     | 0.0038     | 5.10    
900    | 1.400  | 76765.98   | 76760.30   | 2.4112     | 0.0032     | 4.33    
1000   | 1.333  | 75500.12   | 75493.44   | 3.0945     | 0.0027     | 3.64    
1100   | 1.267  | 74594.94   | 74587.64   | 2.0719     | 0.0023     | 3.09    
1200   | 1.200  | 73953.77   | 73945.78   | 2.6207     | 0.0020     | 2.69    
1300   | 1.133  | 73315.07   | 73306.48   | 1.3062     | 0.0018     | 2.40    
1400   | 1.067  | 72906.78   | 72897.99   | 4.6264     | 0.0016     | 2.14    
1500   | 1.000  | 72496.78   | 72487.78   | 1.2436     | 0.0014     | 1.93    
1600   | 0.933  | 72015.22   | 72006.05   | 5.5456     | 0.0013     | 1.78    
1700   | 0.867  | 71686.30   | 71677.08   | 2.4933     | 0.0012     | 1.63    
1800   | 0.800  | 71310.87   | 71301.93   | 1.0970     | 0.0011     | 1.47    
1900   | 0.733  | 70937.57   | 70928.70   | 5.5812     | 0.0010     | 1.36    
2000   | 0.667  | 70665.92   | 70656.73   | 1.5680     | 0.0009     | 1.27    
2100   | 0.600  | 70336.78   | 70327.66   | 0.6901     | 0.0009     | 1.20    
2200   | 0.533  | 70078.36   | 70069.16   | 1.3993     | 0.0008     | 1.14    
2300   | 0.467  | 69688.41   | 69679.32   | 2.9919     | 0.0008     | 1.07    
2400   | 0.400  | 69454.89   | 69445.40   | 3.3087     | 0.0008     | 1.05    
2500   | 0.333  | 69105.30   | 69095.54   | 1.4859     | 0.0008     | 1.03    
2600   | 0.267  | 68771.21   | 68761.45   | 11.4316    | 0.0007     | 0.98    
2700   | 0.200  | 68387.02   | 68377.09   | 7.7486     | 0.0007     | 0.95    
2800   | 0.133  | 67981.77   | 67972.17   | 6.7010     | 0.0007     | 0.90    
2900   | 0.067  | 67609.14   | 67599.44   | 22.5045    | 0.0007     | 0.86    
2999   | 0.050  | 67397.05   | 67388.15   | 60.2635    | 0.0006     | 0.77    
