Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 132120.61  | 132264.34  | 3.9495     | 0.0319     | 98.60   
100    | 1.933  | 104658.80  | 104710.14  | 14.4275    | 0.0131     | 23.47   
200    | 1.867  | 93999.64   | 94020.60   | 8.5928     | 0.0064     | 10.25   
300    | 1.800  | 88580.20   | 88595.64   | 6.4992     | 0.0058     | 8.66    
400    | 1.733  | 85156.30   | 85167.30   | 5.7648     | 0.0055     | 7.92    
500    | 1.667  | 82542.21   | 82548.84   | 5.3563     | 0.0052     | 7.21    
600    | 1.600  | 80383.32   | 80385.73   | 4.5503     | 0.0047     | 6.47    
700    | 1.533  | 78543.08   | 78542.02   | 4.0889     | 0.0041     | 5.60    
800    | 1.467  | 77015.93   | 77012.34   | 2.6149     | 0.0035     | 4.79    
900    | 1.400  | 75853.31   | 75848.18   | 3.1318     | 0.0029     | 3.98    
1000   | 1.333  | 74904.26   | 74897.88   | 2.6342     | 0.0026     | 3.45    
1100   | 1.267  | 74249.05   | 74241.73   | 2.9354     | 0.0023     | 3.03    
1200   | 1.200  | 73597.36   | 73589.49   | 2.3278     | 0.0020     | 2.65    
1300   | 1.133  | 73010.68   | 73002.27   | 3.1731     | 0.0018     | 2.41    
1400   | 1.067  | 72354.82   | 72345.92   | 2.1383     | 0.0016     | 2.20    
1500   | 1.000  | 71865.10   | 71856.20   | 2.0448     | 0.0014     | 1.94    
1600   | 0.933  | 71463.18   | 71454.30   | 2.4185     | 0.0013     | 1.74    
1700   | 0.867  | 71174.46   | 71165.62   | 1.3608     | 0.0012     | 1.59    
1800   | 0.800  | 70872.33   | 70863.84   | 2.3921     | 0.0011     | 1.43    
1900   | 0.733  | 70512.43   | 70504.11   | 3.3004     | 0.0010     | 1.29    
2000   | 0.667  | 70213.59   | 70205.34   | 3.1135     | 0.0009     | 1.20    
2100   | 0.600  | 69768.45   | 69759.98   | 0.9930     | 0.0009     | 1.16    
2200   | 0.533  | 69311.63   | 69303.03   | 2.1181     | 0.0008     | 1.12    
2300   | 0.467  | 68826.90   | 68818.07   | 3.9893     | 0.0008     | 1.08    
2400   | 0.400  | 68587.92   | 68578.99   | 4.2874     | 0.0008     | 1.04    
2500   | 0.333  | 68278.24   | 68268.96   | 1.7403     | 0.0008     | 1.01    
2600   | 0.267  | 68056.20   | 68046.74   | 8.2899     | 0.0007     | 0.97    
2700   | 0.200  | 67617.23   | 67607.80   | 5.3178     | 0.0007     | 0.92    
2800   | 0.133  | 67274.26   | 67264.95   | 4.1323     | 0.0007     | 0.87    
2900   | 0.067  | 67031.78   | 67022.39   | 21.5431    | 0.0006     | 0.84    
2999   | 0.050  | 66715.16   | 66705.74   | 55.3633    | 0.0006     | 0.80    
