Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 133380.53  | 133534.28  | 3.7289     | 0.0300     | 107.23  
100    | 1.933  | 106633.28  | 106685.89  | 8.4410     | 0.0118     | 24.00   
200    | 1.867  | 102562.58  | 102578.76  | 2.1713     | 0.0042     | 7.57    
300    | 1.800  | 101318.82  | 101331.36  | 1.2595     | 0.0039     | 6.56    
400    | 1.733  | 100600.23  | 100609.50  | 1.4370     | 0.0038     | 6.12    
500    | 1.667  | 99961.55   | 99967.35   | 1.4613     | 0.0037     | 5.87    
600    | 1.600  | 99239.12   | 99241.55   | 5.0493     | 0.0035     | 5.55    
700    | 1.533  | 98515.25   | 98514.60   | 3.0381     | 0.0034     | 5.32    
800    | 1.467  | 97716.62   | 97713.48   | 6.2692     | 0.0033     | 5.11    
900    | 1.400  | 96977.16   | 96971.36   | 5.0718     | 0.0031     | 4.85    
1000   | 1.333  | 96381.11   | 96373.22   | 5.3596     | 0.0029     | 4.42    
1100   | 1.267  | 95817.84   | 95808.26   | 2.8405     | 0.0026     | 4.07    
1200   | 1.200  | 95261.05   | 95249.79   | 10.0955    | 0.0025     | 3.84    
1300   | 1.133  | 94958.80   | 94945.98   | 5.4618     | 0.0023     | 3.56    
1400   | 1.067  | 94763.48   | 94749.36   | 5.1731     | 0.0021     | 3.33    
1500   | 1.000  | 94620.32   | 94605.10   | 5.4670     | 0.0020     | 3.12    
1600   | 0.933  | 94428.75   | 94412.60   | 5.8096     | 0.0019     | 2.96    
1700   | 0.867  | 94384.37   | 94367.55   | 6.4777     | 0.0018     | 2.77    
1800   | 0.800  | 94230.55   | 94213.20   | 7.2132     | 0.0017     | 2.60    
1900   | 0.733  | 94026.82   | 94008.55   | 7.5145     | 0.0016     | 2.51    
2000   | 0.667  | 93859.61   | 93841.00   | 8.7921     | 0.0015     | 2.37    
2100   | 0.600  | 93638.05   | 93618.84   | 9.6057     | 0.0015     | 2.28    
2200   | 0.533  | 93525.79   | 93506.18   | 9.8109     | 0.0014     | 2.18    
2300   | 0.467  | 93338.86   | 93319.01   | 13.0882    | 0.0013     | 2.08    
2400   | 0.400  | 92966.07   | 92946.07   | 15.3638    | 0.0013     | 1.99    
2500   | 0.333  | 92663.04   | 92643.41   | 17.2696    | 0.0012     | 1.87    
2600   | 0.267  | 92529.89   | 92510.22   | 20.3592    | 0.0011     | 1.79    
2700   | 0.200  | 92381.71   | 92362.16   | 27.4411    | 0.0011     | 1.70    
2800   | 0.133  | 92189.70   | 92170.54   | 28.5895    | 0.0010     | 1.60    
2900   | 0.067  | 91380.98   | 91368.85   | 45.3967    | 0.0007     | 1.10    
2999   | 0.050  | 91140.89   | 91131.73   | 33.7514    | 0.0005     | 0.86    
