Instance,N,PGD Gap(Avg),PGD Gap(Std),PGD Gap(Best),SK Gap(Avg),SK Gap(Std),SK Gap(Best),PGD Time(s),SK Time(s)
nug12,12,29.07,0.0,29.07,1.38,0.0,1.38,0.43,7.05
had12,12,17.92,0.0,17.92,0.61,0.0,0.61,0.36,6.95
nug20,20,27.94,0.0,27.94,0.16,0.0,0.16,0.75,8.82
nug30,30,32.36,0.0,32.36,2.22,0.0,2.22,1.07,14.35
kra30a,30,49.61,0.0,49.61,4.11,0.0,4.11,1.08,14.37
tho30,30,38.84,0.0,38.84,1.37,0.0,1.37,1.07,14.36
tai40b,40,61.95,0.0,61.95,12.72,0.0,12.72,2.0,30.36
tai50b,50,53.31,0.0,53.31,7.1,0.0,7.1,2.92,44.37
tai60b,60,32.31,0.0,32.31,4.64,0.0,4.64,3.19,44.45
tai80b,80,37.41,0.0,37.41,4.99,0.0,4.99,3.03,36.6
tho150,150,15.48,0.0,15.48,1.72,0.0,1.72,9.92,126.41
