instance obj_label
bur26a 5426670.0
bur26b 3817852.0
bur26c 5426795.0
bur26d 3821225.0
bur26e 5386879.0
bur26f 3782044.0
bur26g 10117172.0
bur26h 7098658.0
chr12a 9552.0
chr12b 9742.0
chr12c 11156.0
chr15a 9896.0
chr15b 7990.0
chr15c 9504.0
chr18a 11098.0
chr18b 1534.0
chr20a 2192.0
chr20b 2298.0
chr20c 14142.0
chr22a 6156.0
chr22b 6194.0
chr25a 3796.0
els19 17212548.0
esc128 64.0
esc16a 68.0
esc16b 292.0
esc16c 160.0
esc16d 16.0
esc16e 28.0
esc16g 26.0
esc16h 996.0
esc16i 14.0
esc16j 8.0
esc32a 130.0
esc32b 168.0
esc32c 642.0
esc32d 200.0
esc32e 2.0
esc32g 6.0
esc32h 438.0
esc64a 116.0
had12 1652.0
had14 2724.0
had16 3720.0
had18 5358.0
had20 6922.0
kra30a 88900.0
kra30b 91420.0
kra32 88700.0
lipa20a 3683.0
lipa20b 27076.0
lipa30a 13178.0
lipa30b 151426.0
lipa40a 31538.0
lipa40b 476581.0
lipa50a 62093.0
lipa50b 1210244.0
lipa60a 107218.0
lipa60b 2520135.0
lipa70a 169755.0
lipa70b 4603200.0
lipa80a 253195.0
lipa80b 7763962.0
lipa90a 360630.0
lipa90b 12490441.0
nug12 578.0
nug14 1014.0
nug15 1150.0
nug16a 1610.0
nug16b 1240.0
nug17 1732.0
nug18 1930.0
nug20 2570.0
nug21 2438.0
nug22 3596.0
nug24 3488.0
nug25 3744.0
nug27 5234.0
nug28 5166.0
nug30 6124.0
rou12 235528.0
rou15 354210.0
rou20 725522.0
scr12 31410.0
scr15 51140.0
scr20 110030.0
sko100a 152002.0
sko100b 153890.0
sko100c 147862.0
sko100d 149576.0
sko100e 149150.0
sko100f 149036.0
sko42 15812.0
sko49 23386.0
sko56 34458.0
sko64 48498.0
sko72 66256.0
sko81 90998.0
sko90 115534.0
ste36a 9526.0
ste36b 15852.0
ste36c 8239110.0
tai100a 21052466.0
tai100b 1185996137.0
tai10a 135028.0
tai10b 1183760.0
tai12a 224416.0
tai12b 39464925.0
tai150b 498896643.0
tai15a 388214.0
tai15b 51765268.0
tai17a 491812.0
tai20a 703482.0
tai20b 122455319.0
tai256c 44759294.0
tai25a 1167256.0
tai25b 344355646.0
tai30a 1818146.0
tai30b 637117113.0
tai35a 2422002.0
tai35b 283315445.0
tai40a 3139370.0
tai40b 637250948.0
tai50a 4938796.0
tai50b 458821517.0
tai60a 7205962.0
tai60b 608215054.0
tai64c 1855928.0
tai80a 13499184.0
tai80b 818415043.0
tho150 8133398.0
tho30 149936.0
tho40 240516.0
wil100 273038.0
wil50 48816.0
