instance, obj, time
bur26a, 5432238, 3.843656
bur26b, 3824977, 3.847411
bur26c, 5427492, 3.842299
bur26d, 3821963, 3.864515
bur26e, 5387239, 3.064306
bur26f, 3782226, 3.129853
bur26g, 10122020, 3.753049
bur26h, 7100863, 3.761094
chr12a, 9916, 2.032817
chr12b, 9742, 2.002892
chr12c, 11188, 2.007797
chr15a, 9982, 2.228075
chr15b, 8210, 2.053076
chr15c, 10644, 2.239023
chr18a, 11282, 2.432630
chr18b, 1556, 2.408804
chr20a, 2288, 2.538147
chr20b, 2596, 2.534350
chr20c, 14142, 1.711317
chr22a, 6824, 2.811585
chr22b, 6824, 2.744902
chr25a, 4166, 3.171618
els19, 20588196, 2.730507
esc128, 64, 46.161498
esc16a, 68, 2.331143
esc16b, 292, 2.377816
esc16c, 160, 2.341676
esc16d, 16, 2.259288
esc16e, 28, 2.245737
esc16f, 0, 0.236764
esc16g, 26, 2.048363
esc16h, 996, 2.325518
esc16i, 14, 2.029768
esc16j, 8, 1.264122
esc32a, 132, 3.859533
esc32b, 168, 3.145183
esc32c, 642, 4.010942
esc32d, 200, 3.878439
esc32e, 2, 3.566893
esc32g, 6, 3.445737
esc32h, 440, 4.044196
esc64a, 116, 11.189338
had12, 1660, 2.149315
had14, 2724, 2.289805
had16, 3724, 2.433711
had18, 5360, 2.667355
had20, 6926, 2.850146
kra30a, 88900, 4.547052
kra30b, 91420, 4.557263
kra32, 88700, 4.240670
lipa20a, 3683, 2.885892
lipa20b, 27076, 1.825953
lipa30a, 13316, 4.767402
lipa30b, 151426, 2.741865
lipa40a, 31996, 7.430692
lipa40b, 476581, 2.949294
lipa50a, 62841, 11.719108
lipa50b, 1210244, 4.880606
lipa60a, 108322, 16.980300
lipa60b, 2520135, 10.615823
lipa70a, 171475, 24.795867
lipa70b, 4603200, 14.769321
lipa80a, 255506, 41.630015
lipa80b, 7763962, 34.881868
lipa90a, 363576, 59.360914
lipa90b, 12490441, 35.475383
nug12, 578, 2.079978
nug14, 1014, 2.251800
nug15, 1150, 2.321643
nug16a, 1610, 2.412612
nug16b, 1240, 2.370434
nug17, 1732, 2.505385
nug18, 1930, 2.568601
nug20, 2570, 2.782360
nug21, 2438, 2.945435
nug22, 3596, 3.061104
nug24, 3488, 3.358787
nug25, 3748, 3.597467
nug27, 5236, 3.831609
nug28, 5166, 3.945040
nug30, 6124, 4.506970
rou12, 235528, 2.068645
rou15, 354210, 2.346501
rou20, 726100, 2.736824
scr12, 31410, 2.062772
scr15, 51140, 2.282468
scr20, 110030, 2.656085
sko100a, 152178, 56.634765
sko100b, 154360, 59.726386
sko100c, 147990, 71.256890
sko100d, 149996, 75.863455
sko100e, 149532, 64.002812
sko100f, 149550, 66.199131
sko42, 15820, 7.850124
sko49, 23420, 10.382227
sko56, 34478, 13.557846
sko64, 48546, 18.193256
sko72, 66316, 30.647353
sko81, 91142, 38.033719
sko90, 115742, 52.077947
ste36a, 9608, 5.896707
ste36b, 16032, 5.608931
ste36c, 8306660, 5.859663
tai100a, 21330014, 61.583621
tai100b, 1189058550, 56.756420
tai10a, 135028, 1.920160
tai10b, 1183760, 1.887305
tai12a, 224416, 2.070275
tai12b, 39464925, 2.037966
tai150b, 503362427, 145.681815
tai15a, 388250, 2.398423
tai15b, 51765268, 2.367439
tai17a, 491812, 2.498041
tai20a, 705622, 2.784862
tai20b, 134684123, 2.854398
tai256c, 44997934, 251.243674
tai25a, 1177436, 3.451896
tai25b, 345943727, 3.529006
tai30a, 1836776, 4.441385
tai30b, 646061548, 4.410602
tai35a, 2451008, 5.451745
tai35b, 283324096, 5.754490
tai40a, 3180830, 6.316555
tai40b, 637472131, 6.910524
tai50a, 5028118, 9.538700
tai50b, 461413635, 10.703340
tai60a, 7306936, 13.770045
tai60b, 609157982, 15.701458
tai64c, 1855928, 5.128645
tai80a, 13725132, 31.971414
tai80b, 819925133, 37.722843
tho150, 8165162, 141.106894
tho30, 149936, 4.427138
tho40, 240542, 7.005729
wil100, 273412, 69.215491
wil50, 48816, 10.997907
