instance time incumbent bks
==========Running script at 2025-12-18 23:41:51==========
bur26a 100.02 5439428.0 5426670
bur26b 100.26 3829261.0 3817852
bur26c 100.02 5461476.0 5426795
bur26d 100.01 3824467.0 3821225
bur26e 100.04 5400355.0 5386879
bur26f 100.02 3808632.0 3782044
bur26g 100.21 10191506.0 10117172
bur26h 100.25 7185962.0 7098658
chr12a 0.75 9552.0 9552
chr12b 0.48 9742.0 9742
chr12c 4.10 11156.0 11156
chr15a 10.17 9896.0 9896
chr15b 2.19 7990.0 7990
chr15c 15.51 9504.0 9504
chr18a 19.80 11098.0 11098
chr18b 46.25 1534.0 1534
chr20a 11.66 2192.0 2192
chr20b 100.08 2492.0 2298
chr20c 3.31 14142.0 14142
chr22a 100.02 6236.0 6156
chr22b 100.02 6430.0 6194
chr25a 100.02 4082.0 3796
els19 7.01 17212548.0 17212548
esc128 100.04 146.0 64
esc16a 2.73 68.0 68
esc16b 100.02 292.0 292
esc16c 100.02 160.0 160
esc16d 17.19 16.0 16
esc16e 0.48 28.0 28
esc16f 0.00 0.0 0
esc16g 0.37 26.0 26
esc16h 100.02 996.0 996
esc16i 0.31 14.0 14
esc16j 0.29 8.0 8
esc32e 0.79 2.0 2
esc32g 0.97 6.0 6
had12 100.01 1652.0 1652
had14 100.01 2724.0 2724
had16 100.02 3724.0 3720
had18 100.04 5370.0 5358
had20 100.03 6972.0 6922
kra30a 100.03 95320.0 88900
kra30b 100.02 95660.0 91420
kra32 100.02 94300.0 88900
lipa20a 100.03 3773.0 3683
lipa20b 100.04 27076.0 27076
lipa30a 100.14 13492.0 13178
lipa30b 100.18 151426.0 151426
lipa40a 100.17 32867.0 31538
lipa40b 100.05 476581.0 476581
lipa50a 100.16 63053.0 62093
lipa50b 100.23 1210244.0 1210244
lipa60a 100.09 109187.0 107218
lipa60b 100.11 2520135.0 2520135
lipa70a 100.22 173428.0 169755
lipa70b 100.65 6030734.0 4603200
lipa80a 101.80 258262.0 253195
lipa80b 101.27 10141090.0 7763962
lipa90a 103.27 367327.0 360630
lipa90b 103.22 16227137.0 12490441
nug12 95.39 578.0 578
nug14 100.00 1034.0 1014
nug15 100.00 1152.0 1150
nug16a 100.00 1640.0 1610
nug16b 100.00 1240.0 1240
nug17 100.00 1758.0 1732
nug18 100.00 2000.0 1930
nug20 100.00 2662.0 2570
nug21 100.00 2452.0 2438
nug22 100.00 3648.0 3596
nug24 100.00 3596.0 3488
nug25 100.00 3898.0 3744
nug27 100.01 5476.0 5234
nug28 100.00 5380.0 5166
nug30 100.01 6296.0 6124
rou12 100.00 235528.0 235528
rou15 100.00 361650.0 354210
rou20 100.00 737636.0 725522
scr12 0.89 31410.0 31410
scr15 5.84 51140.0 51140
scr20 100.00 110058.0 110030
sko100a 104.42 179718.0 152002
sko100b 104.09 180802.0 153890
sko100c 104.13 172992.0 147862
sko100d 104.68 176648.0 149576
sko100e 103.88 175898.0 149150
sko100f 104.42 175618.0 149036
sko42 100.04 16448.0 15812
sko49 100.09 24974.0 23386
sko56 100.59 36636.0 34458
sko64 103.33 52640.0 48498
sko72 113.48 73560.0 66256
sko81 101.50 109246.0 90998
sko90 102.50 137716.0 115534
ste36b 100.01 16186.0 15852
ste36c 100.01 8728518.0 8239110
tai100a 104.77 23934276.0 21052466
tai100b 103.84 1790223761.0 1185996137
tai12a 100.00 224416.0 224416
tai12b 7.78 39464925.0 39464925
tai150b 132.48 646476878.0 498896643
tai15a 100.00 395318.0 388214
tai15b 100.00 51838891.0 51765268
tai17a 100.00 508756.0 491812
tai20a 100.01 725182.0 703482
tai20b 100.00 124484161.0 122455319
tai25a 100.00 1214426.0 1167256
tai25b 100.00 344355646.0 344355646
tai30a 100.01 1903622.0 1818146
tai30b 100.01 654912282.0 637117113
tai35a 100.01 2545776.0 2422002
tai35b 100.01 294928111.0 283315445
tai40a 100.05 3328816.0 3139370
tai40b 100.01 711390375.0 637250948
tai50a 100.17 5318074.0 4938796
tai50b 100.03 553228040.0 458821517
tai60a 100.11 7827400.0 7205962
tai60b 100.75 785258258.0 608215054
tai64c 100.01 1855928.0 1855928
tai80a 101.83 15714140.0 13499184
tai80b 101.43 1293218795.0 818415043
tho150 121.08 9851230.0 8133398
tho30 100.01 159586.0 149936
tho40 100.01 253014.0 240516
wil100 104.30 300794.0 273038
wil50 100.09 51194.0 48816
