Iter     | SoftCost     | RealCost     | Vio(Bin)     | Grad|Z|     
0        | 61.36        | 64.00        | 0.0580       | 0.0119      
100      | 35.93        | 42.00        | 0.0541       | 0.0043      
200      | 33.79        | 38.00        | 0.0542       | 0.0029      
300      | 31.28        | 40.00        | 0.0542       | 0.0027      
400      | 29.61        | 46.00        | 0.0538       | 0.0023      
500      | 29.37        | 42.00        | 0.0531       | 0.0026      
600      | 28.80        | 40.00        | 0.0520       | 0.0024      
700      | 25.76        | 70.00        | 0.0499       | 0.0036      
800      | 25.36        | 54.00        | 0.0465       | 0.0050      
900      | 24.84        | 64.00        | 0.0425       | 0.0045      
1000     | 24.64        | 64.00        | 0.0380       | 0.0058      
1100     | 24.54        | 62.00        | 0.0337       | 0.0077      
1200     | 24.51        | 58.00        | 0.0297       | 0.0079      
1300     | 24.46        | 68.00        | 0.0263       | 0.0081      
1400     | 24.46        | 58.00        | 0.0233       | 0.0097      
1500     | 24.46        | 52.00        | 0.0207       | 0.0104      
1600     | 24.08        | 46.00        | 0.0186       | 0.0085      
1700     | 24.10        | 46.00        | 0.0167       | 0.0096      
1800     | 24.11        | 46.00        | 0.0149       | 0.0079      
1900     | 24.00        | 46.00        | 0.0132       | 0.0054      
2000     | 24.00        | 46.00        | 0.0119       | 0.0123      
2100     | 24.00        | 46.00        | 0.0110       | 0.0066      
2200     | 24.00        | 46.00        | 0.0098       | 0.0081      
2300     | 24.00        | 46.00        | 0.0089       | 0.0086      
2400     | 24.00        | 46.00        | 0.0082       | 0.0082      
2500     | 24.00        | 46.00        | 0.0074       | 0.0079      
2600     | 24.00        | 32.00        | 0.0069       | 0.0123      
2700     | 24.05        | 32.00        | 0.0063       | 0.0091      
2800     | 23.98        | 32.00        | 0.0058       | 0.0031      
2900     | 23.98        | 48.00        | 0.0055       | 0.0092      
2999     | 23.97        | 38.00        | 0.0052       | 0.0053      
