Iter     | SoftCost     | RealCost     | Vio(Bin)     | Grad|Z|     
0        | 27.47        | 28.00        | 0.0580       | 0.0091      
100      | 16.09        | 18.00        | 0.0552       | 0.0020      
200      | 15.36        | 20.00        | 0.0552       | 0.0015      
300      | 14.08        | 12.00        | 0.0548       | 0.0017      
400      | 13.41        | 30.00        | 0.0540       | 0.0029      
500      | 11.63        | 32.00        | 0.0526       | 0.0039      
600      | 10.52        | 26.00        | 0.0496       | 0.0075      
700      | 10.11        | 32.00        | 0.0487       | 0.0059      
800      | 9.93         | 20.00        | 0.0488       | 0.0047      
900      | 8.74         | 20.00        | 0.0485       | 0.0051      
1000     | 8.42         | 20.00        | 0.0482       | 0.0041      
1100     | 7.00         | 28.00        | 0.0475       | 0.0037      
1200     | 6.96         | 30.00        | 0.0467       | 0.0035      
1300     | 6.50         | 18.00        | 0.0459       | 0.0041      
1400     | 6.59         | 16.00        | 0.0448       | 0.0039      
1500     | 6.97         | 24.00        | 0.0439       | 0.0046      
1600     | 6.88         | 20.00        | 0.0428       | 0.0056      
1700     | 6.61         | 26.00        | 0.0413       | 0.0053      
1800     | 6.70         | 24.00        | 0.0401       | 0.0057      
1900     | 6.45         | 22.00        | 0.0386       | 0.0075      
2000     | 6.74         | 26.00        | 0.0376       | 0.0095      
2100     | 6.55         | 26.00        | 0.0363       | 0.0117      
2200     | 6.52         | 26.00        | 0.0355       | 0.0068      
2300     | 6.32         | 26.00        | 0.0344       | 0.0101      
2400     | 6.13         | 26.00        | 0.0335       | 0.0090      
2500     | 6.04         | 22.00        | 0.0328       | 0.0073      
2600     | 6.02         | 22.00        | 0.0321       | 0.0087      
2700     | 6.01         | 26.00        | 0.0315       | 0.0113      
2800     | 6.18         | 22.00        | 0.0307       | 0.0078      
2900     | 6.02         | 22.00        | 0.0301       | 0.0081      
2999     | 6.00         | 22.00        | 0.0293       | 0.0098      
