# Time(s) ObjectiveValue
27.2854 74796
32.353 74508
37.955 72602
69.94 71236
80.3552 68256
91.1021 67968
101.692 67928
107.223 67622
117.724 66548
122.869 66520
144.04 66358
154.71 66284
202.268 66096
212.812 66092
239.247 65952
249.877 65942
266.248 65756
293.034 65648
314.439 65516
319.907 64554
335.572 64548
346.256 64514
372.383 64512
387.997 64492
424.348 63864
440.252 63760
456.16 63738
471.741 63736
476.977 63720
487.481 63646
502.722 63570
543.705 63558
569.635 63366
574.854 62690
580.051 62678
704.532 62434
740.82 61906
751.275 61894
756.345 61540
777.213 61508
900.969 61380
911.308 61374
937.234 61358
952.652 61346
1050.69 61268
1086.95 61266
1107.71 61226
1265.32 61116
1424.33 61072
1439.83 61044
1444.96 61036
1471.02 61022
1476.15 61012
1517.57 61010
1615.52 60088
1625.87 60062
1740.13 59108
1818 59108
