# Time(s) ObjectiveValue
0.001531 853860.000000
0.001689 831290.000000
0.001844 803930.000000
0.001999 773666.000000
0.002154 740674.000000
0.002306 702256.000000
0.002455 662514.000000
0.002605 620542.000000
0.002752 578714.000000
0.002899 534292.000000
0.003045 484936.000000
0.003195 431684.000000
0.003340 372720.000000
0.003487 309988.000000
0.003632 241402.000000
0.003775 167848.000000
0.003921 88848.000000
0.004071 86668.000000
0.004218 85188.000000
0.004362 83920.000000
0.004505 82710.000000
0.004649 81576.000000
0.004788 80474.000000
0.004928 79456.000000
0.005066 78496.000000
0.005206 77020.000000
0.005342 76300.000000
0.005480 75512.000000
0.005619 74824.000000
0.005758 74194.000000
0.005896 73578.000000
0.006033 73010.000000
0.006176 72474.000000
0.006312 71994.000000
0.006448 71494.000000
0.006585 71036.000000
0.006721 70534.000000
0.006859 70118.000000
0.006997 69288.000000
0.007138 68920.000000
0.007273 68398.000000
0.007409 68014.000000
0.007545 67578.000000
0.007680 67156.000000
0.007814 66780.000000
0.007951 66460.000000
0.008100 66184.000000
0.008239 65910.000000
0.008376 65382.000000
0.008513 65122.000000
0.008650 63804.000000
0.008785 63542.000000
0.008922 63376.000000
0.009057 63226.000000
0.009193 63002.000000
0.009327 62780.000000
0.009462 61912.000000
0.009599 61526.000000
0.009733 61152.000000
0.009871 60808.000000
0.010006 60648.000000
0.010146 60512.000000
0.010283 60384.000000
0.010421 60258.000000
0.010557 60140.000000
0.010692 60028.000000
0.010828 59930.000000
0.010966 59840.000000
0.011107 59750.000000
0.011244 59662.000000
0.011381 59584.000000
0.011515 59518.000000
0.011649 59456.000000
0.011786 59398.000000
0.011921 59288.000000
0.012054 59240.000000
0.012194 59196.000000
0.012327 59158.000000
0.012460 59126.000000
0.012598 59122.000000
0.013265 59116.000000
0.057574 58936.000000
0.057711 58846.000000
0.057849 58784.000000
0.057989 58734.000000
0.058125 58694.000000
0.058258 58650.000000
0.058393 58618.000000
0.058527 58590.000000
0.058663 58564.000000
0.058798 58538.000000
0.058933 58514.000000
0.059072 58494.000000
0.059211 58468.000000
0.059347 58440.000000
0.059484 58436.000000
0.060150 58430.000000
0.060550 58378.000000
0.298513 58316.000000
0.298650 58234.000000
0.298783 58176.000000
0.298920 58132.000000
0.299058 58092.000000
0.299193 58054.000000
0.299328 58022.000000
0.299465 58004.000000
0.299601 57986.000000
0.299737 57974.000000
0.299871 57964.000000
0.300010 57954.000000
0.300144 57936.000000
0.300280 57928.000000
0.300418 57880.000000
1.372487 57800.000000
1.372628 57532.000000
1.372765 57384.000000
1.372904 57262.000000
1.373042 57186.000000
1.373177 57118.000000
1.373313 57050.000000
1.373447 56990.000000
1.373580 56944.000000
1.373717 56902.000000
1.373854 56874.000000
1.373994 56854.000000
1.374129 56838.000000
1.374264 56826.000000
1.374398 56818.000000
1.374536 56770.000000
1.374673 56768.000000
1.374809 56740.000000
3.518257 56718.000000
3.518400 56648.000000
3.518539 56584.000000
3.518680 56522.000000
3.518820 56464.000000
3.518956 56416.000000
3.519093 56372.000000
3.519229 56272.000000
3.519366 56186.000000
3.519504 56078.000000
3.519643 56044.000000
3.519784 56008.000000
3.519922 55974.000000
3.520061 55940.000000
3.520198 55910.000000
3.520336 55890.000000
3.520476 55784.000000
3.520615 55340.000000
3.520756 55320.000000
3.520894 55304.000000
3.521035 55290.000000
3.521172 55266.000000
3.521312 55252.000000
3.521449 55246.000000
3.521586 55204.000000
3.521724 55198.000000
3.521864 55194.000000
3.522000 55192.000000
3.522135 55190.000000
15.201937 55182.000000
15.202083 55132.000000
15.202222 55042.000000
15.202360 55010.000000
15.202497 54982.000000
15.202636 54958.000000
15.202772 54942.000000
15.202913 54930.000000
15.203053 54876.000000
15.203191 54848.000000
15.203329 54836.000000
15.203466 54832.000000
15.204140 54818.000000
15.204280 54734.000000
16.032436 54694.000000
16.032579 54604.000000
16.032718 54520.000000
16.032857 54434.000000
16.032994 54366.000000
16.033128 54304.000000
16.033266 54264.000000
16.033403 54242.000000
16.033541 54224.000000
16.033679 54206.000000
16.033825 54186.000000
16.033962 54174.000000
16.034101 54158.000000
16.034238 54148.000000
16.034374 54142.000000
16.034511 54138.000000
16.270903 54122.000000
16.271046 54044.000000
16.271184 54020.000000
16.271320 54004.000000
16.271460 53988.000000
16.271598 53964.000000
16.271739 53952.000000
16.271877 53898.000000
16.272012 53870.000000
16.272150 53858.000000
